Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Marked as	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundances (Normalized): F1: 126, Sample, A1, n/a"	"Abundances (Normalized): F1: 127N, Sample, A2, n/a"	"Abundances (Normalized): F1: 127C, Sample, A3, n/a"	"Abundances (Normalized): F1: 128N, Sample, A4, n/a"	"Abundances (Normalized): F1: 128C, Sample, A5, n/a"	"Abundances (Normalized): F1: 129N, Sample, n/a, B1"	"Abundances (Normalized): F1: 129C, Sample, n/a, B2"	"Abundances (Normalized): F1: 130N, Sample, n/a, B3"	"Abundances (Normalized): F1: 130C, Sample, n/a, B4"	"Abundances (Normalized): F1: 131, Sample, n/a, B5"	"Abundance: F1: 126, Sample, A1, n/a"	"Abundance: F1: 127N, Sample, A2, n/a"	"Abundance: F1: 127C, Sample, A3, n/a"	"Abundance: F1: 128N, Sample, A4, n/a"	"Abundance: F1: 128C, Sample, A5, n/a"	"Abundance: F1: 129N, Sample, n/a, B1"	"Abundance: F1: 129C, Sample, n/a, B2"	"Abundance: F1: 130N, Sample, n/a, B3"	"Abundance: F1: 130C, Sample, n/a, B4"	"Abundance: F1: 131, Sample, n/a, B5"	"Found in Sample: [S1] F1: 126, Sample, A1, n/a"	"Found in Sample: [S2] F1: 127N, Sample, A2, n/a"	"Found in Sample: [S3] F1: 127C, Sample, A3, n/a"	"Found in Sample: [S4] F1: 128N, Sample, A4, n/a"	"Found in Sample: [S5] F1: 128C, Sample, A5, n/a"	"Found in Sample: [S6] F1: 129N, Sample, n/a, B1"	"Found in Sample: [S7] F1: 129C, Sample, n/a, B2"	"Found in Sample: [S8] F1: 130N, Sample, n/a, B3"	"Found in Sample: [S9] F1: 130C, Sample, n/a, B4"	"Found in Sample: [S10] F1: 131, Sample, n/a, B5"	Modifications
FALSE	High	IsMasterProtein	Q6F3D8	MHC class I antigen (Fragment) OS=Homo sapiens GN=HLA-B PE=3 SV=1	0	FALSE	Human	11.557	10	2	4	1	1	273	31.7	6.39	7.69	2	2	140.5	199.7	159.3	215.7	185.4	169.6	166.3	157.7	136.2	254.6	140.5	169.2	141.3	188.4	126.4	130.8	138.3	131.5	125.9	219.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O15240	Neurosecretory protein VGF OS=Homo sapiens GN=VGF PE=1 SV=2	0	FALSE	Human	46.946	23	13	26	13	1	615	67.2	4.78	64.47	13	0	962.6	3205.8	1035.5	3654.5	1063.1	2912.2	1909.8	1038.9	1160.3	872.1	962.6	2716.6	917.9	3193.1	724.9	2245.8	1587.6	866.4	1070.3	752.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O75787	Renin receptor OS=Homo sapiens GN=ATP6AP2 PE=1 SV=2	0	FALSE	Human	70.226	40	13	43	2	1	350	39	6.1	123.06	13	12	1947.1	5314.3	1775.6	2023.3	1829.2	5473.6	2480.8	1805	1876.5	1779	1947.1	4503.4	1574	1767.9	1247.3	4221.1	2062.3	1505.3	1734.1	1534.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O60341	Lysine-specific histone demethylase 1A OS=Homo sapiens GN=KDM1A PE=1 SV=2	0	FALSE	Human	59.786	22	14	28	14	1	852	92.8	6.52	59.28	14	0	2057.6	2127.2	1560.6	1225.1	1102.9	2411.8	942	1237.9	1127.3	1071.3	2057.6	1802.6	1383.4	1070.4	752.1	1859.9	783.1	1032.3	1041.7	924	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8IVF2	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	0	FALSE	Human	770.657	45	110	447	108	1	5795	616.2	5.36	1087.79	110	0	11447.5	9512.3	26471.5	9868.2	23435.5	8495.7	12594.6	34604.7	23087.7	23391.3	11447.5	8060.8	23466.3	8622.3	15981.1	6551.6	10470	28857.3	21335.5	20175.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9H0V1	Transmembrane protein 168 OS=Homo sapiens GN=TMEM168 PE=2 SV=2	0	FALSE	Human	20.277	12	6	13	6	1	697	79.7	8.03	17.32	6	0	637.4	781.9	632.1	700.8	675.2	768.3	1027.2	757	707.9	742.1	637.4	662.6	560.3	612.3	460.4	592.5	853.9	631.3	654.2	640.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q59EL2	COP9 constitutive photomorphogenic homolog subunit 2 variant (Fragment) OS=Homo sapiens PE=2 SV=1	0	FALSE	Human	35.797	15	6	21	6	1	451	52.5	5.54	55.73	6	0	1628.5	2230.5	1301.3	1612.7	1308.5	2216.1	1260.2	1466.6	1364.3	1388.7	1628.5	1890.1	1153.6	1409.1	892.3	1709	1047.6	1223	1260.7	1197.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q4LE40	C14orf159 variant protein (Fragment) OS=Homo sapiens GN=C14orf159 variant protein PE=2 SV=1	0	FALSE	Human	193.719	37	20	120	20	1	631	68	6.71	337.87	20	0	7823.7	3890.1	6846.9	3872.7	8619.9	5620.4	4187.9	4745.4	6891.2	6812.8	7823.7	3296.5	6069.6	3383.8	5878.1	4334.3	3481.4	3957.3	6368.2	5876.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9C0B5	Palmitoyltransferase ZDHHC5 OS=Homo sapiens GN=ZDHHC5 PE=1 SV=2	0.002	FALSE	Human	5.582	3	2	4	2	1	715	77.5	9.01	8.71	2	0	66.9	97.6	73.7	86.5	194	92.3	90.9	129.3	182.8	130.3	66.9	82.7	65.3	75.5	132.3	71.2	75.6	107.8	168.9	112.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P04843	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1	0	FALSE	Human	359.279	68	35	428	35	1	607	68.5	6.38	1533.2	35	0	24687.5	31848	28302	46394.2	27441.5	37693.2	21449.5	25605.1	29430.8	30800.5	24687.5	26988.3	25088.9	40536.7	18712.8	29067.7	17831.1	21352.4	27197.1	26565.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9UL71	Myosin-reactive immunoglobulin heavy chain variable region (Fragment) OS=Homo sapiens PE=2 SV=1	0	FALSE	Human	22.807	25	2	41	2	1	121	13.1	7.12	85.55	2	0	1815.1	1282.8	998	1492.4	954.3	872.6	1107.1	1894.5	1156.2	2335.4	1815.1	1087.1	884.7	1304	650.8	672.9	920.3	1579.9	1068.4	2014.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	J3QTA2	BAG family molecular chaperone regulator 1 OS=Homo sapiens GN=BAG1 PE=1 SV=1	0	FALSE	Human	8.499	10	3	8	3	1	345	38.7	7.81	8.98	3	0	186.3	212.8	182.4	216.4	243	199.2	191.5	210.2	238.8	244.5	186.3	180.3	161.7	189.1	165.7	153.6	159.2	175.3	220.7	210.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q92747	Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens GN=ARPC1A PE=1 SV=2	0	FALSE	Human	63.591	32	9	28	8	1	370	41.5	8.18	76.32	9	0	3088.1	2321.9	3387.1	1584.1	2792.3	2762.2	3314.4	2892.9	1798.3	2132	3088.1	1967.6	3002.6	1384.1	1904.1	2130.1	2755.3	2412.4	1661.8	1838.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	B7ZL55	RAS p21 protein activator 4 OS=Homo sapiens GN=RASA4 PE=2 SV=1	0	FALSE	Human	11.708	8	4	4	4	1	803	90.3	8.02	6.38	4	0	60.2	79.9	56.8	90.2	55.1	55.5	211.5	72.8	62	62.8	60.2	67.7	50.4	78.8	37.6	42.8	175.8	60.7	57.3	54.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q96P48	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens GN=ARAP1 PE=1 SV=3"	0	FALSE	Human	11.492	3	3	5	3	1	1450	162.1	6.23	7.79	3	0	149.5	198.2	146.3	189	177.7	162.8	158.3	140.5	145.5	144	149.5	167.9	129.7	165.2	121.2	125.5	131.6	117.2	134.4	124.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9GZT8	NIF3-like protein 1 OS=Homo sapiens GN=NIF3L1 PE=1 SV=2	0	FALSE	Human	8.725	10	3	6	3	1	377	41.9	6.65	15.28	3	0	248.9	263.6	159.9	177.4	216.8	286.7	192.7	206.9	182.8	190.4	248.9	223.4	141.8	155	147.9	221.1	160.2	172.5	168.9	164.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A0A0MRK6	"Metaxin 1, isoform CRA_b OS=Homo sapiens GN=MTX1 PE=1 SV=1"	0	FALSE	Human	53.131	17	6	33	6	1	466	51.4	9.79	90.95	6	0	1498.2	1575.4	1356.1	1907.2	2439.5	1825.1	1703.2	2080.9	2870.8	2369.5	1498.2	1335	1202.2	1666.4	1663.5	1407.4	1415.9	1735.3	2652.9	2043.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9NZN5	Rho guanine nucleotide exchange factor 12 OS=Homo sapiens GN=ARHGEF12 PE=1 SV=1	0	FALSE	Human	36.995	10	13	29	13	1	1544	173.1	5.74	41.04	13	0	1116.2	1248.4	797.1	914.8	1111.7	1232.7	999.9	1278.3	1448.5	1107.2	1116.2	1057.9	706.6	799.3	758.1	950.6	831.2	1066	1338.6	955	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A024R9G4	"Family with sequence similarity 49, member B, isoform CRA_a OS=Homo sapiens GN=FAM49B PE=4 SV=1"	0	FALSE	Human	42.924	32	7	37	6	1	324	36.7	6.06	87.85	7	1	1062.8	1129.8	1019.4	1147.3	971.8	989	1323.2	1419.8	785.1	1131.6	1062.8	957.4	903.7	1002.4	662.7	762.7	1100	1184	725.5	976.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q16678	Cytochrome P450 1B1 OS=Homo sapiens GN=CYP1B1 PE=1 SV=2	0	FALSE	Human	72.033	26	12	63	12	1	543	60.8	8.98	146.73	12	0	3666.4	1874.5	1906.5	5582.3	2343.8	1353.6	3802.8	1968.8	2502.5	1717.3	3666.4	1588.5	1690.1	4877.5	1598.2	1043.9	3161.3	1641.8	2312.6	1481.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	B3KM35	"cDNA FLJ10144 fis, clone HEMBA1003286, highly similar to Beta-1,4-galactosyltransferase 4 (EC 2.4.1.-) OS=Homo sapiens PE=2 SV=1"	0	FALSE	Human	14.893	12	3	7	3	1	344	40	9.07	18.9	3	0	95.1	401.5	126.7	127.3	132.2	496.8	104.8	104.1	136.9	122.3	95.1	340.2	112.3	111.2	90.1	383.1	87.1	86.8	126.5	105.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P55011	Solute carrier family 12 member 2 OS=Homo sapiens GN=SLC12A2 PE=1 SV=1	0	FALSE	Human	40.033	9	9	25	9	1	1212	131.4	6.4	72.32	9	0	1242.5	1386.1	1151.5	1431.6	1719.8	1760.3	1195.2	1903.8	1900	1473.7	1242.5	1174.6	1020.8	1250.8	1172.8	1357.5	993.6	1587.6	1755.8	1271.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O95363	"Phenylalanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=FARS2 PE=1 SV=1"	0	FALSE	Human	20.652	15	6	7	6	1	451	52.3	7.46	12.63	6	0	264.2	331.4	270.2	307.3	305.6	400.5	293.7	301.2	293.8	281.9	264.2	280.8	239.6	268.5	208.4	308.8	244.2	251.2	271.5	243.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9H2A7	C-X-C motif chemokine 16 OS=Homo sapiens GN=CXCL16 PE=2 SV=4	0.001	FALSE	Human	6.165	6	1	5	1	1	254	27.6	8.78	7.62	1	0	136.7	177.8	488	208.6	164.8	171	228.6	139.9	165.2	136.6	136.7	150.7	432.6	182.2	112.4	131.9	190	116.7	152.7	117.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O14874	"[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Homo sapiens GN=BCKDK PE=1 SV=2"	0	FALSE	Human	51.365	25	6	16	6	1	412	46.3	8.82	64.95	6	0	683.8	636.5	641.4	817	714.9	624.3	677.1	681	959.8	977.7	683.8	539.4	568.6	713.9	487.5	481.4	562.9	567.9	887	843.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P0DOX4	Immunoglobulin epsilon heavy chain OS=Homo sapiens PE=1 SV=1	0.001	FALSE	Human	5.766	2	1	1	1	1	547	60.3	7.99	2.98	1	0	50.9	28.4	17.3	38.9	27.5	37.4	36.9	40.3	32.8	62.5	50.9	24.1	15.3	34	18.7	28.8	30.7	33.6	30.3	53.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A8K4N4	"cDNA FLJ77844, highly similar to Homo sapiens TNFAIP3 interacting protein 1, mRNA OS=Homo sapiens PE=2 SV=1"	0.001	FALSE	Human	7.015	8	3	5	3	1	636	71.8	6.57	2.47	3	0	43.8	68.3	42.9	68.5	67.4	46.1	74.6	62.7	78.4	62.7	43.8	57.9	38	59.8	45.9	35.6	62	52.3	72.4	54.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P09669	Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2	0.009	FALSE	Human	3.283	11	1	4	1	1	75	8.8	10.39	9.97	1	0	394.7	715.3	450.1	894.1	1253.2	819.5	469.6	252.8	370.1	1117.7	394.7	606.2	399	781.2	854.5	632	390.4	210.8	342	964.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q5T3F8	CSC1-like protein 2 OS=Homo sapiens GN=TMEM63B PE=1 SV=1	0	FALSE	Human	17.042	6	5	5	5	1	832	94.9	7.4	12.5	5	0	242	283.4	325.7	271.7	341.1	277	233.7	376.5	357.5	400.8	242	240.1	288.7	237.4	232.6	213.6	194.3	314	330.4	345.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P04275	von Willebrand factor OS=Homo sapiens GN=VWF PE=1 SV=4	0	FALSE	Human	295.238	20	42	128	1	1	2813	309.1	5.48	363.41	42	56	7868.1	7925.2	6037.8	15541.3	9860	6767.8	7501.3	6708.2	8900.5	9230.4	7868.1	6715.9	5352.4	13579.1	6723.7	5219.1	6235.9	5594.1	8225	7961.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A8K596	"cDNA FLJ75087, highly similar to Homo sapiens sarcosine dehydrogenase (SARDH), mRNA OS=Homo sapiens PE=2 SV=1"	0	FALSE	Human	23.417	10	6	9	5	1	918	100.9	7.2	17.86	6	0	111.4	140.4	76	146.3	80.4	137.9	98	60.2	81	62.2	111.4	119	67.3	127.8	54.8	106.4	81.5	50.2	74.8	53.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P49790-3	Isoform 3 of Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153	0.001	FALSE	Human	7.818	2	3	4	3	1	1506	157.2	8.84	6.57	3	0	154.9	225.1	92.2	93.3	112.1	194	83.4	88.1	128.3	91.5	154.9	190.7	81.7	81.5	76.4	149.6	69.4	73.5	118.6	78.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9UBY8	Protein CLN8 OS=Homo sapiens GN=CLN8 PE=1 SV=3	0.007	FALSE	Human	3.686	6	1	1	1	1	286	32.8	8.21	2.64	1	0	18.7	34	24.6	30.3	26.2	23.3	25.6	19	28	22.9	18.7	28.8	21.8	26.5	17.8	18	21.3	15.9	25.9	19.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q96RY7	Intraflagellar transport protein 140 homolog OS=Homo sapiens GN=IFT140 PE=1 SV=1	0	FALSE	Human	10.677	3	3	4	3	1	1462	165.1	6.04	5.36	3	0	255.9	926.3	249.1	252.8	183.8	642.3	481.9	197.7	185.1	182.4	255.9	785	202.6	209.5	125.4	495.3	400.6	154	166.8	157.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P36873-2	Isoform Gamma-2 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens GN=PPP1CC	0	FALSE	Human	136.238	65	17	123	4	1	337	38.5	6.13	458.83	17	18	7179.5	7417.4	7021.3	5492.4	5729.3	7493.3	20093.9	6081.6	6167.4	6114.4	7179.5	6285.6	6224.2	4799	3906.9	5778.6	16704.2	5071.6	5699.3	5273.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P45984	Mitogen-activated protein kinase 9 OS=Homo sapiens GN=MAPK9 PE=1 SV=2	0	FALSE	Human	15.611	10	4	7	1	1	424	48.1	5.63	20.56	4	0	32.3	83.4	29.6	34.7	44.1	30.3	36.2	30.5	34.5	38.6	32.3	70.7	26.2	30.3	30.1	23.4	30.1	25.5	31.9	33.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P35579	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	0	FALSE	Human	2591.41	65	151	3890	122	1	1960	226.4	5.6	12780.11	151	57	209508.5	156210.6	158666.5	438106.6	192215.8	171341.4	149216.4	245310.8	280450.1	246132.7	209508.5	132374.5	140653.6	382793.9	131075.1	132132.5	124044.8	204567.8	259165.3	212292.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P22033	"Methylmalonyl-CoA mutase, mitochondrial OS=Homo sapiens GN=MUT PE=1 SV=4"	0	FALSE	Human	124.692	37	19	69	19	1	750	83.1	6.93	180.11	19	0	3880.5	5226	3013.5	3197.8	4256	5726.3	3590.6	3559.5	4038.3	3391	3880.5	4428.6	2671.4	2794	2902.2	4415.9	2984.9	2968.3	3731.8	2924.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q5VW32	BRO1 domain-containing protein BROX OS=Homo sapiens GN=BROX PE=1 SV=1	0	FALSE	Human	21.494	12	3	12	3	1	411	46.4	7.65	25.12	3	0	460.9	1130.6	487.8	387.8	479.9	489.4	601	432.8	367	402.8	460.9	958.1	432.4	338.9	327.3	377.4	499.6	360.9	339.2	347.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P31689	DnaJ homolog subfamily A member 1 OS=Homo sapiens GN=DNAJA1 PE=1 SV=2	0	FALSE	Human	157.131	45	14	89	14	1	397	44.8	7.08	258.75	14	0	3946.8	4808	3705.2	4854	4075.8	4651.2	4147	3881	4007.3	3920	3946.8	4074.3	3284.5	4241.2	2779.3	3586.8	3447.5	3236.4	3703.2	3381	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P54802	Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2	0	FALSE	Human	8.619	4	2	4	2	1	743	82.2	6.65	5.9	2	0	83.5	62.3	46.5	56.8	50	63.5	45	44.3	33	50.7	83.5	52.8	41.3	49.6	34.1	49	37.4	37	30.5	43.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9Y2X0	Mediator of RNA polymerase II transcription subunit 16 OS=Homo sapiens GN=MED16 PE=1 SV=2	0.001	FALSE	Human	6.08	1	1	2	1	1	877	96.7	7.37	4.97	1	0	81.9	85.7	66.2	70.5	77.1	72.8	64.3	65.1	77.7	59.4	81.9	72.6	58.7	61.6	52.6	56.1	53.4	54.3	71.8	51.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8NFG4	Folliculin OS=Homo sapiens GN=FLCN PE=1 SV=1	0.008	FALSE	Human	3.496	2	1	1	1	1	579	64.4	6.23	2.23	1	0	33.1	38.8	34	36.3	39.1	35	79.6	29.4	37.8	33.4	33.1	32.9	30.1	31.7	26.7	27	66.1	24.5	34.9	28.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A3R0T8	"Histone 1, H1e OS=Homo sapiens GN=HIST1H1E PE=2 SV=1"	0	FALSE	Human	105.204	36	11	215	3	1	219	21.9	11.03	759.89	11	10	55765.4	27421.2	29537.2	9172.6	8669.5	37736.6	6997	12646.4	12094.5	5502.5	55765.4	23237	26184	8014.5	5911.9	29101.1	5816.7	10546	11176.6	4745.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A1W2PRB8	Uncharacterized protein OS=Homo sapiens PE=4 SV=1	0	FALSE	Human	12.099	5	3	9	2	1	838	93.4	7.77	19.93	3	1	369.6	287	284.6	335.3	204.1	303.6	574.2	213.2	215.6	214	369.6	243.2	252.3	292.9	139.2	234.1	477.3	177.8	199.3	184.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A8K6Q3	"cDNA FLJ75880, highly similar to Homo sapiens synaptic vesicle glycoprotein 2A (SV2A), mRNA OS=Homo sapiens PE=2 SV=1"	0	FALSE	Human	16.021	6	3	4	3	1	742	82.6	5.5	9.97	3	0	81.8	180.5	92	125.7	86.9	228.6	106.7	75.8	67.1	61.6	81.8	152.9	81.6	109.8	59.3	176.3	88.7	63.2	62	53.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A0S2Z410	Hydroxysteroid dehydrogenase 10 isoform 1 (Fragment) OS=Homo sapiens GN=HSD17B10 PE=2 SV=1	0	FALSE	Human	395.044	89	16	242	16	1	261	26.9	7.78	837.24	16	0	10126.4	13769.6	10082.4	10226.5	17754	14451.1	9977.8	13539	18727.6	16584.5	10126.4	11668.5	8937.8	8935.4	12106.8	11144.2	8294.7	11290.4	17306.2	14304.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P63215	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-3 OS=Homo sapiens GN=GNG3 PE=1 SV=1	0.005	FALSE	Human	4.383	20	1	1	1	1	75	8.3	7.78	2.63	1	0	11.1	191.7	5.8	91.6	73.1	93	106.8	7.7	56.9	15.7	11.1	162.5	5.2	80	49.8	71.7	88.8	6.4	52.6	13.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q13136	Liprin-alpha-1 OS=Homo sapiens GN=PPFIA1 PE=1 SV=1	0	FALSE	Human	32.721	7	8	21	8	1	1202	135.7	6.29	41.84	8	0	600.3	850	685.1	761.4	843.2	816.3	652.1	686.4	761.9	679	600.3	720.3	607.4	665.3	575	629.5	542.1	572.4	704.1	585.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A8K5I6	"cDNA FLJ78643, highly similar to Homo sapiens cornulin (CRNN), mRNA OS=Homo sapiens PE=2 SV=1"	0	FALSE	Human	22.808	11	4	18	4	1	495	53.5	6.1	49.43	4	0	472.3	568.6	678.1	547.9	3099.4	427.1	339	492.3	429.2	744	472.3	481.9	601.1	478.8	2113.5	329.3	281.8	410.5	396.6	641.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9UL03	Integrator complex subunit 6 OS=Homo sapiens GN=INTS6 PE=1 SV=1	0.007	FALSE	Human	3.909	1	1	1	1	1	887	100.3	8.62	3.41	1	0	66	77	56	66.1	57.9	101.9	49.7	66.7	57.5	67.2	66	65.3	49.6	57.8	39.5	78.6	41.3	55.6	53.1	58	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	D9ZGF8	Rho-associated protein kinase OS=Homo sapiens GN=ROCK1 PE=3 SV=1	0	FALSE	Human	35.237	7	7	20	4	1	1354	158.1	5.94	62.27	7	0	197.8	189.9	105.9	139.4	187.7	164.6	167.3	135	112.6	145.8	197.8	160.9	93.8	121.8	128	126.9	139.1	112.6	104.1	125.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O95825	Quinone oxidoreductase-like protein 1 OS=Homo sapiens GN=CRYZL1 PE=1 SV=2	0	FALSE	Human	35.041	19	7	16	7	1	349	38.7	5.78	32.82	7	0	477.6	691.7	351	550	377	680.8	696.5	360.3	412.7	382.7	477.6	586.1	311.1	480.5	257.1	525	579	300.4	381.4	330.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P78371	T-complex protein 1 subunit beta OS=Homo sapiens GN=CCT2 PE=1 SV=4	0	FALSE	Human	377.974	77	31	251	31	1	535	57.5	6.46	859.01	31	0	11455.8	16133.6	9232.2	13176.8	11051.8	15738.5	12714.9	12602.6	10981.1	11264	11455.8	13671.8	8184.1	11513.2	7536.4	12137	10570	10509.5	10147.6	9715.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q59EE9	Phosphoinositide phospholipase C (Fragment) OS=Homo sapiens PE=2 SV=1	0	FALSE	Human	111.8	28	15	69	1	1	776	87.5	6.9	186.14	15	16	2175.4	1660.8	2395.6	1913.9	2281.8	1964.4	4993.8	1901.9	1852.4	2042.8	2175.4	1404.9	2123.7	1672.2	1556	1514.9	4151.4	1586	1711.8	1761.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q99942	E3 ubiquitin-protein ligase RNF5 OS=Homo sapiens GN=RNF5 PE=1 SV=1	0.002	FALSE	Human	5.261	8	1	2	1	1	180	19.9	6.65	5.46	1	0	64	27.4	24.9	62.8	76.5	33.5	14.5	77.3	87.1	76.1	64	23.2	22.1	54.8	52.1	25.9	12.1	64.5	80.5	65.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q53HG1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 (Fragment) OS=Homo sapiens PE=2 SV=1	0	FALSE	Human	68.918	71	8	33	1	1	146	17.2	9.63	91.37	8	9	1952.9	2764.5	2125.9	2889.6	3235.4	3161.1	2150	2959.9	2590.1	2598.1	1952.9	2342.6	1884.6	2524.8	2206.3	2437.7	1787.3	2468.3	2393.5	2240.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9NTJ5	Phosphatidylinositide phosphatase SAC1 OS=Homo sapiens GN=SACM1L PE=1 SV=2	0	FALSE	Human	143.844	51	24	96	24	1	587	66.9	7.12	241.05	24	0	4734.5	6308.3	5245.1	7999.9	6146.9	7232.7	5103.9	4900.6	5214.7	5803.8	4734.5	5345.7	4649.6	6989.9	4191.6	5577.6	4242.9	4086.7	4818.9	5005.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q15172	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform OS=Homo sapiens GN=PPP2R5A PE=1 SV=1	0	FALSE	Human	10.45	6	2	5	2	1	486	56.2	6.71	10.21	2	0	106.4	137.8	96.1	101.2	127.9	133.5	133.4	108.8	94.1	105.7	106.4	116.7	85.2	88.4	87.2	102.9	110.9	90.8	86.9	91.2	High	High	High	High	High	High	High	High	High	High	
