Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Marked as	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundance Ratio: (F1, 126) / (F1, 131)"	"Abundance Ratio: (F1, 127N) / (F1, 131)"	"Abundance Ratio: (F1, 127C) / (F1, 131)"	"Abundance Ratio: (F1, 128N) / (F1, 131)"	"Abundance Ratio: (F1, 128C) / (F1, 131)"	"Abundance Ratio: (F1, 129N) / (F1, 131)"	"Abundance Ratio: (F1, 129C) / (F1, 131)"	"Abundance Ratio: (F1, 130N) / (F1, 131)"	"Abundance Ratio: (F1, 130C) / (F1, 131)"	"Abundances (Normalized): F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundances (Normalized): F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundances (Normalized): F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundances (Normalized): F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundances (Normalized): F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundances (Normalized): F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundances (Normalized): F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundances (Normalized): F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundances (Normalized): F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundances (Normalized): F1: 131, Sample, n/a, n/a, n/a, GIS"	"Abundance: F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundance: F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundance: F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundance: F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundance: F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundance: F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundance: F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundance: F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundance: F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundance: F1: 131, Sample, n/a, n/a, n/a, GIS"	"Abundances Count: F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundances Count: F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundances Count: F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundances Count: F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundances Count: F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundances Count: F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundances Count: F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundances Count: F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundances Count: F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundances Count: F1: 131, Sample, n/a, n/a, n/a, GIS"	"Found in Sample: [S1] F1: 126, Sample, CON1, n/a, n/a, n/a"	"Found in Sample: [S2] F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Found in Sample: [S3] F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Found in Sample: [S4] F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Found in Sample: [S5] F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Found in Sample: [S6] F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Found in Sample: [S7] F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Found in Sample: [S8] F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Found in Sample: [S9] F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Found in Sample: [S10] F1: 131, Sample, n/a, n/a, n/a, GIS"	Modifications
FALSE	High	IsMasterProtein	O14497	AT-rich interactive domain-containing protein 1A OS=Homo sapiens GN=ARID1A PE=1 SV=3	0	FALSE	Human	312.584	28	49	108	47	1	2285	241.9	6.7	380.18	49	2	1.006	0.991	1.021	1.069	0.989	1.02	1.031	0.99	0.99	12448	12256.8	12632.5	13225.3	12234	12613.8	12752.4	12250	12253.1	12372.3	12448	12014.8	12400.8	13092	11117	12495	12029.6	10990.2	11599.2	11034.5	49	49	49	49	49	49	49	49	49	49	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q641Q2	WASH complex subunit FAM21A OS=Homo sapiens GN=FAM21A PE=2 SV=3	0	FALSE	Human	312.541	52	50	115	11	1	1341	147.1	4.81	413.15	50	38	1.01	1.025	1.024	0.932	1.002	1.018	1.005	1.033	1.016	12886	13075.4	13065.7	11894.6	12784.8	12987.1	12823.3	13184.9	12959.7	12761.6	12886	12817.2	12826.1	11774.7	11617.5	12864.7	12096.5	11828.9	12268.1	11381.7	48	48	48	48	48	48	48	48	48	48	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	H3BLZ8	Probable ATP-dependent RNA helicase DDX17 OS=Homo sapiens GN=DDX17 PE=1 SV=1	0	FALSE	Human	312.219	51	38	413	27	1	731	80.4	8.37	1290.96	38	0	0.983	0.973	1.001	0.997	1.016	0.99	0.984	1.033	1.018	30065.1	29781.6	30629.5	30495.5	31097.5	30294.3	30099.9	31600.5	31155.2	30598.1	30065.1	29193.6	30067.8	30188.1	28258.2	30008.9	28393.8	28350.5	29492.6	27289.5	31	31	31	31	31	31	31	31	31	31	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9Y3Z3	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 OS=Homo sapiens GN=SAMHD1 PE=1 SV=2	0	FALSE	Human	312.165	69	37	202	37	1	626	72.2	7.14	727.94	37	0	1.006	0.979	1.012	0.908	1.066	0.967	0.986	1.06	1.048	28552.8	27798.3	28731.7	25784.4	30273.2	27447.3	27997.8	30087.8	29763.5	28395.8	28552.8	27249.4	28204.9	25524.4	27509.2	27188.7	26410.8	26993.4	28175.1	25325.3	42	42	42	42	42	42	42	42	42	42	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P49736	DNA replication licensing factor MCM2 OS=Homo sapiens GN=MCM2 PE=1 SV=4	0	FALSE	Human	311.839	50	41	273	41	1	904	101.8	5.52	989.81	41	0	0.991	0.966	0.993	0.879	1.113	0.928	0.943	1.124	1.104	26765.5	26077.4	26824.2	23738.6	30047.7	25066.4	25479.9	30347.6	29818.6	27006.5	26765.5	25562.5	26332.3	23499.2	27304.2	24830.3	24035.6	27226.5	28227.3	24086.3	46	46	46	46	46	46	46	46	46	46	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q6KC79	Nipped-B-like protein OS=Homo sapiens GN=NIPBL PE=1 SV=2	0	FALSE	Human	311.608	26	65	104	65	1	2804	315.9	7.91	315.4	65	0	1.018	0.971	1.021	1.097	0.977	1.02	1.029	0.977	0.986	15838.3	15110.8	15875.5	17071.5	15202.2	15870.8	16001.5	15202.4	15338.7	15555	15838.3	14812.4	15584.4	16899.4	13814.1	15721.3	15094.4	13638.9	14520.1	13873	62	62	62	62	62	62	62	62	62	62	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14669-2	Isoform 2 of E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens GN=TRIP12	0	FALSE	Human	311.192	34	57	131	1	1	2025	223.8	8.4	467.13	57	0	1.2	1.188	1.114	1.232	1.118	1.098	1.097	1.166	1.164	64.6	64	59.9	66.3	60.2	59.1	59	62.8	62.6	53.8	64.6	62.7	58.8	65.7	54.7	58.5	55.7	56.3	59.3	48	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P68366	Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1	0	FALSE	Human	310.859	66	24	1820	2	1	448	49.9	5.06	7391.43	24	4	0.943	0.974	0.917	0.834	1.096	0.914	0.944	1.08	1.077	12857.5	13286.1	12510.1	11375	14944.9	12470	12870.8	14727.1	14693.3	13636.9	12857.5	13023.8	12280.7	11260.3	13580.4	12352.6	12141.2	13212.4	13909.2	12162.3	6	6	6	6	6	6	6	6	6	6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14676	Mediator of DNA damage checkpoint protein 1 OS=Homo sapiens GN=MDC1 PE=1 SV=3	0	FALSE	Human	310.668	42	49	82	49	1	2089	226.5	5.47	323.62	49	0	0.992	0.963	0.996	1.051	1.005	1.023	1.019	1.029	1.035	5979.5	5807.3	6002.5	6336.9	6056.8	6165.6	6141	6200.7	6237	6027.6	5979.5	5692.6	5892.4	6273	5503.8	6107.5	5792.9	5563	5904.2	5375.8	47	47	47	47	47	47	47	47	47	47	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O75691	Small subunit processome component 20 homolog OS=Homo sapiens GN=UTP20 PE=1 SV=3	0	FALSE	Human	310.454	24	59	130	59	1	2785	318.2	7.39	426.33	59	0	1.006	0.98	1.002	1.098	0.983	1.014	1.038	0.957	0.962	18467	17999.7	18392.1	20171.3	18054.5	18614.5	19053.1	17567.5	17670.5	18364.4	18467	17644.3	18054.8	19967.9	16406	18439.2	17973.1	15760.7	16727.5	16378.6	59	59	59	59	59	59	59	59	59	59	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9BXP5	Serrate RNA effector molecule homolog OS=Homo sapiens GN=SRRT PE=1 SV=1	0	FALSE	Human	310.397	46	47	175	47	1	876	100.6	5.96	594.6	47	0	1.029	0.986	1.021	1.01	1.004	1.013	1.003	1.017	1.005	26677.3	25555.7	26450.3	26181.7	26011.3	26245.4	25982	26345.3	26047	25916.3	26677.3	25051.1	25965.3	25917.8	23636.3	25998.2	24509.2	23635.8	24657	23113.9	49	49	49	49	49	49	49	49	49	49	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14C86-6	Isoform 6 of GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens GN=GAPVD1	0	FALSE	Human	309.948	40	51	154	51	1	1487	166.1	5.21	548.69	51	0	0.999	1.01	1.018	0.941	1.056	0.986	0.99	1.059	1.045	21205.3	21437.8	21619.8	19986.2	22428.5	20941.8	21016.9	22494.3	22191.4	21234.3	21205.3	21014.5	21223.3	19784.7	20380.7	20744.5	19825.6	20180.9	21007.1	18938.2	52	52	52	52	52	52	52	52	52	52	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9UBC2-2	Isoform 2 of Epidermal growth factor receptor substrate 15-like 1 OS=Homo sapiens GN=EPS15L1	0	FALSE	Human	309.865	63	44	151	44	1	910	99.5	5.08	555.16	44	0	0.976	0.982	1.007	0.925	1.016	0.976	0.976	1.05	1.053	15378.9	15466.6	15857.6	14570.5	16012.9	15373.5	15370.5	16550.1	16587.4	15755	15378.9	15161.2	15566.8	14423.6	14550.8	15228.7	14499.3	14848	15702.2	14051.4	44	44	44	44	44	44	44	44	44	44	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P24928	DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens GN=POLR2A PE=1 SV=2	0	FALSE	Human	309.715	33	60	127	60	1	1970	217	7.37	401.79	60	0	1.02	0.987	1.016	1.053	0.986	1.014	1	0.994	0.984	18140.4	17561.4	18078.3	18732.6	17539.8	18044.4	17799.7	17682.5	17512.7	17791.7	18140.4	17214.6	17746.8	18543.8	15938.4	17874.4	16790.8	15863.9	16578.1	15867.9	59	59	59	59	59	59	59	59	59	59	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8IY81	pre-rRNA processing protein FTSJ3 OS=Homo sapiens GN=FTSJ3 PE=1 SV=2	0	FALSE	Human	309.636	49	37	316	37	1	847	96.5	8.4	1273.87	37	0	1.006	0.984	1.006	1.112	0.969	1.059	1.05	0.94	0.945	31710.6	31017	31715.2	35074.6	30562.2	33393.9	33097.9	29624.7	29804.6	31528	31710.6	30404.6	31133.7	34721	27771.8	33079.3	31221.8	26577.9	28214	28118.8	39	39	39	39	39	39	39	39	39	39	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q96AE4	Far upstream element-binding protein 1 OS=Homo sapiens GN=FUBP1 PE=1 SV=3	0	FALSE	Human	308.967	57	34	268	2	1	644	67.5	7.61	881.24	34	31	0.986	0.984	1.01	0.941	1.032	0.979	0.978	1.062	1.069	27646.5	27588.3	28307.2	26370.5	28925.5	27438.5	27426.6	29757.8	29954.6	28030.8	27646.5	27043.6	27788.1	26104.7	26284.5	27180	25872	26697.3	28356	24999.8	34	34	34	34	34	34	34	34	34	34	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A2RRP1	Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2	0	FALSE	Human	308.837	30	55	105	55	1	2371	268.4	5.96	348.21	55	0	0.999	0.985	1.011	1.058	0.966	1.011	1.028	0.953	0.962	10546.2	10393.5	10673.8	11167.2	10189.9	10665.3	10852.5	10061.4	10151	10552.7	10546.2	10188.3	10478.1	11054.7	9259.5	10564.8	10237.3	9026.6	9609.3	9411.6	53	53	53	53	53	53	53	53	53	53	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P31150	Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2	0	FALSE	Human	308.628	71	26	453	17	1	447	50.6	5.14	1503.95	26	0	0.992	1.012	1.001	0.926	1.044	0.986	1.004	1.063	1.054	19835.2	20228.4	20018.2	18503	20867.3	19715.7	20061.3	21251.8	21068.1	19988.6	19835.2	19829	19651.1	18316.4	18962	19530	18924.2	19066.1	19943.8	17827.2	22	22	22	22	22	22	22	22	22	22	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q93084-2	Isoform SERCA3A of Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 OS=Homo sapiens GN=ATP2A3	0	FALSE	Human	308.423	43	38	264	30	1	999	109.2	5.52	933.97	38	0	0.958	0.94	1.021	1.069	0.952	1.008	1.023	0.983	0.993	14785	14509.7	15754	16501.2	14687.3	15558.3	15790	15170.1	15329.7	15431.5	14785	14223.2	15465.1	16334.8	13346.3	15411.8	14895	13609.9	14511.6	13762.9	33	33	33	33	33	33	33	33	33	33	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0FGR8-2	Isoform 2 of Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2	0	FALSE	Human	307.962	53	35	188	1	1	893	98.8	8.68	719.8	35	0	0.954	0.888	0.959	0.962	0.805	1.11	0.994	0.894	0.849	98.5	91.7	99	99.4	83.1	114.6	102.7	92.3	87.7	103.3	98.5	89.9	97.2	98.4	75.5	113.5	96.9	82.8	83	92.1	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P11498	"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2"	0	FALSE	Human	307.854	53	46	148	46	1	1178	129.6	6.84	529.92	46	0	1.026	1.015	1.027	1.097	0.988	1.052	1.055	0.949	0.942	17294	17108.1	17317.2	18487.6	16662.9	17731.6	17788	16001.4	15887.5	16859.3	17294	16770.3	16999.7	18301.2	15141.5	17564.6	16779.7	14355.7	15039.6	15036.3	46	46	46	46	46	46	46	46	46	46	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	E9PN89	Heat shock cognate 71 kDa protein (Fragment) OS=Homo sapiens GN=HSPA8 PE=1 SV=1	0	FALSE	Human	307.611	77	26	989	2	1	312	34.8	7.53	3494.57	26	0	1.007	0.979	1.082	1.006	1.063	1.062	1.101	1.105	1.049	288.1	279.9	309.5	287.9	304	303.8	314.9	315.9	299.9	286	288.1	274.4	303.8	285	276.3	300.9	297.1	283.5	283.9	255.1	2	2	2	2	2	2	2	2	2	2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q99575	Ribonucleases P/MRP protein subunit POP1 OS=Homo sapiens GN=POP1 PE=1 SV=2	0	FALSE	Human	306.857	53	43	120	43	1	1024	114.6	9.22	471.02	43	0	1.033	0.991	1.016	1.017	0.994	1.004	1.004	0.985	0.981	14644.2	14039.4	14403.8	14412.8	14091.2	14222	14233.6	13957.4	13895.8	14172	14644.2	13762.2	14139.7	14267.5	12804.6	14088.1	13426.8	12521.9	13154.2	12639.6	44	44	44	44	44	44	44	44	44	44	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q92878-2	Isoform 2 of DNA repair protein RAD50 OS=Homo sapiens GN=RAD50	0	FALSE	Human	306.732	50	68	149	68	1	1318	154.5	6.89	463.61	68	0	1.014	0.998	1.019	1.004	1.008	0.995	1.012	1.033	1.027	26092.7	25672.9	26218.8	25846.1	25931.3	25612	26036.8	26572.2	26439.4	25734.4	26092.7	25166	25738.1	25585.5	23563.7	25370.7	24561	23839.3	25028.4	22951.7	65	65	65	65	65	65	65	65	65	65	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9HAV4	Exportin-5 OS=Homo sapiens GN=XPO5 PE=1 SV=1	0	FALSE	Human	306.731	46	47	236	47	1	1204	136.2	5.8	717.81	47	0	1.023	0.999	0.997	0.915	1.067	0.976	0.976	1.051	1.044	24110.9	23553.3	23489.9	21557.9	25161.6	22995.7	23014.6	24778.8	24604.8	23572.3	24110.9	23088.2	23059.2	21340.6	22864.2	22779.1	21710.1	22230.4	23291.7	21023.4	52	52	52	52	52	52	52	52	52	52	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P49915	GMP synthase [glutamine-hydrolyzing] OS=Homo sapiens GN=GMPS PE=1 SV=1	0	FALSE	Human	306.588	63	37	165	37	1	693	76.7	6.87	619.8	37	0	1.009	0.993	1.001	0.869	1.099	0.94	0.958	1.104	1.083	22781.9	22412.8	22609.2	19610.6	24824.4	21218.9	21627.3	24923.6	24457.4	22578.4	22781.9	21970.3	22194.6	19412.9	22557.8	21019	20401.4	22360.3	23152.2	20137	39	39	39	39	39	39	39	39	39	39	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	D6REX3	Protein transport protein Sec31A OS=Homo sapiens GN=SEC31A PE=1 SV=1	0	FALSE	Human	306.091	43	38	154	21	1	1251	136.1	6.98	596.78	38	17	1.013	1.021	1.024	0.914	1.02	0.964	0.997	1.041	1	23303	23497.1	23572.6	21043.7	23475.1	22196.5	22954.2	23956.1	23012.3	23014.6	23303	23033.1	23140.4	20831.6	21331.7	21987.4	21653.1	21492.3	21784.2	20526	38	38	38	38	38	38	38	38	38	38	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O00410-3	Isoform 3 of Importin-5 OS=Homo sapiens GN=IPO5	0	FALSE	Human	305.923	51	39	269	37	1	1115	125.5	4.92	879.12	39	2	1.001	0.998	0.993	0.989	1.029	0.984	1	1.01	1.007	24761.1	24698.4	24570.8	24471.5	25462.3	24353.8	24753	24996.1	24909.6	24741	24761.1	24210.7	24120.3	24224.8	23137.5	24124.4	23349.9	22425.4	23580.3	22065.7	43	43	43	43	43	43	43	43	43	43	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8NE71	ATP-binding cassette sub-family F member 1 OS=Homo sapiens GN=ABCF1 PE=1 SV=2	0	FALSE	Human	305.528	45	35	175	22	1	845	95.9	6.8	665.93	35	15	1.003	0.99	0.986	0.927	1.022	0.98	0.97	1.039	1.024	22471	22176.3	22089.6	20765.9	22912.6	21962.8	21737	23278.7	22947.6	22410	22471	21738.4	21684.5	20556.5	20820.6	21755.9	20504.9	20884.6	21723	19986.8	40	40	40	40	40	40	40	40	40	40	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O75153	Clustered mitochondria protein homolog OS=Homo sapiens GN=CLUH PE=1 SV=2	0	FALSE	Human	305.466	52	52	150	8	1	1309	146.6	6.13	504.61	52	41	0.986	1	0.987	0.919	1.048	0.971	0.988	1.079	1.037	16465.7	16707.6	16482.4	15348	17515.7	16221.8	16506.2	18020.3	17328.3	16706.9	16465.7	16377.7	16180.2	15193.2	15916.4	16068.9	15570.6	16167	16403.6	14900.4	49	49	49	49	49	49	49	49	49	49	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9UGP8	Translocation protein SEC63 homolog OS=Homo sapiens GN=SEC63 PE=1 SV=2	0	FALSE	Human	305.325	49	36	181	36	1	760	87.9	5.31	681.2	36	0	1	0.967	0.989	1.073	0.984	1.031	1.019	0.928	0.974	19947.4	19291.3	19737.4	21405.1	19639.4	20569.1	20328.9	18504.5	19425.1	19950.5	19947.4	18910.4	19375.5	21189.3	17846.3	20375.3	19176.6	16601.4	18388.5	17793.2	40	40	40	40	40	40	40	40	40	40	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8N766	ER membrane protein complex subunit 1 OS=Homo sapiens GN=EMC1 PE=1 SV=1	0	FALSE	Human	304.963	52	39	230	39	1	993	111.7	7.66	879.35	39	0	1.007	0.969	1.001	1.072	0.971	1.014	1.02	0.933	0.945	25352.2	24397.1	25202.4	26982.9	24435.5	25511.9	25679.5	23492	23775.8	25169.4	25352.2	23915.4	24740.3	26710.8	22204.4	25271.5	24223.9	21076	22507	22447.8	38	38	38	38	38	38	38	38	38	38	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P11940	Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2	0	FALSE	Human	304.932	61	33	505	8	1	636	70.6	9.5	1700.56	33	20	0.992	0.984	0.984	0.932	1.026	0.978	0.976	1.044	1.028	42235	41873.2	41873.7	39685.8	43662	41634.1	41557.4	44454.5	43737.3	42564.3	42235	41046.4	41105.9	39285.7	39675.5	41241.9	39201.8	39882.5	41403.2	37961.8	30	30	30	30	30	30	30	30	30	30	High	High	High	High	High	High	High	High	High	High	Acetyl [N-Term]
FALSE	High	IsMasterProtein	O60506-3	Isoform 3 of Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP	0	FALSE	Human	304.734	54	30	632	1	1	562	62.6	7.56	2482.61	30	0	0.925	0.938	0.933	0.874	0.966	0.929	0.931	0.925	0.98	245.8	249.1	247.8	232.2	256.7	246.8	247.4	245.7	260.2	265.6	245.8	244.2	243.2	229.9	233.2	244.5	233.3	220.5	246.3	236.9	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	D3DQV9	Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens GN=EIF4G2 PE=1 SV=1	0	FALSE	Human	304.495	58	47	176	46	1	907	102.3	7.14	567.38	47	1	1.024	1.008	1.003	0.933	1.036	0.969	0.967	1.04	1.013	24589.1	24213.4	24094.3	22415.4	24890.8	23286	23234.2	24985.6	24328.9	24020.8	24589.1	23735.3	23652.5	22189.4	22618.1	23066.6	21917.2	22415.9	23030.6	21423.4	50	50	50	50	50	50	50	50	50	50	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q7Z2W4	Zinc finger CCCH-type antiviral protein 1 OS=Homo sapiens GN=ZC3HAV1 PE=1 SV=3	0	FALSE	Human	304.021	67	47	144	1	1	902	101.4	8.4	517.09	47	0	0.971	0.986	0.997	0.981	1.045	1.023	1.04	1.04	1.001	832	844.7	854.6	840.4	895.6	876.3	890.9	891.2	857.2	856.7	832	828	838.9	831.9	813.8	868	840.4	799.5	811.5	764.1	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q5T1M5	FK506-binding protein 15 OS=Homo sapiens GN=FKBP15 PE=1 SV=2	0	FALSE	Human	303.865	42	43	99	43	1	1219	133.5	5.2	387.32	43	0	0.974	0.988	1.003	0.903	1.036	0.979	0.966	1.064	1.055	12167.9	12349.7	12530.6	11283.1	12941.6	12234.1	12073.8	13292.4	13186.7	12495.6	12167.9	12105.9	12300.9	11169.3	11760	12118.8	11389.4	11925.3	12483	11144.4	41	41	41	41	41	41	41	41	41	41	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P19338	Nucleolin OS=Homo sapiens GN=NCL PE=1 SV=3	0	FALSE	Human	303.087	53	51	1446	28	1	710	76.6	4.7	4625.11	51	24	0.989	0.981	0.984	1.005	0.957	1.022	0.989	0.954	0.977	192096.1	190561.3	191104.4	195234.4	185747.1	198377.2	192003.8	185272.6	189626.1	194186.3	192096.1	186798.6	187600.1	193266	168787.5	196508.3	181120.5	166218	179506.5	173188.7	53	53	53	53	53	53	53	53	53	53	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8TCU6	"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein OS=Homo sapiens GN=PREX1 PE=1 SV=3"	0	FALSE	Human	302.892	43	55	161	55	1	1659	186.1	6.44	546.14	55	0	1.05	1.056	1.038	0.942	0.991	0.972	0.965	1.02	1.004	17897.8	17988.4	17691.1	16044.6	16887.4	16559.8	16448.3	17375.8	17113.9	17039.2	17897.8	17633.2	17366.7	15882.9	15345.5	16403.7	15515.9	15588.8	16200.6	15196.7	53	53	53	53	53	53	53	53	53	53	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O75146	Huntingtin-interacting protein 1-related protein OS=Homo sapiens GN=HIP1R PE=1 SV=2	0	FALSE	Human	302.57	49	51	114	48	1	1068	119.3	6.67	414.79	51	3	0.998	1.009	1.048	0.948	1.003	0.99	0.992	1.043	1.017	15515	15688	16282.7	14728.9	15596.2	15387.1	15416	16207.9	15810.9	15542.4	15515	15378.2	15984.1	14580.4	14172.2	15242.1	14542.2	14541	14967.1	13861.8	52	52	52	52	52	52	52	52	52	52	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A087X2D8	C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens GN=SPAG9 PE=1 SV=1	0	FALSE	Human	302.488	40	44	138	40	1	1312	145.1	5.17	503.32	44	5	1.009	1.027	1.019	0.956	1.005	1.028	1.028	1.045	1.016	17755.7	18078.8	17944.7	16828.7	17685.4	18104	18101.9	18404.5	17887.8	17606	17755.7	17721.8	17615.6	16659	16070.7	17933.5	17075.8	16511.6	16933.2	15702.2	47	47	47	47	47	47	47	47	47	47	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P80723	Brain acid soluble protein 1 OS=Homo sapiens GN=BASP1 PE=1 SV=2	0	FALSE	Human	301.599	91	23	127	23	1	227	22.7	4.63	595.85	23	0	1.059	1.088	1.06	0.97	0.96	1.003	0.969	1.004	0.956	26344	27080.1	26387.6	24135.4	23891.2	24966.5	24125.7	24989.2	23789.5	24885.6	26344	26545.4	25903.7	23892.1	21709.8	24731.3	22758.2	22419.1	22519.9	22194.7	22	22	22	22	22	22	22	22	22	22	High	High	High	High	High	High	High	High	High	High	
