CON1	CON2	CON3	shRNA1	shRNA2	shRNA3	Accession	Description	Genename
2439.8	2387	2346.9	2368.3	2437.5	2438.2	Q92599	Septin-8 OS=Homo sapiens GN=SEPT8 PE=1 SV=4	SEPT8
2114.9	2092.5	2103	2053	2032.8	2087	Q5R3I4	Tetratricopeptide repeat protein 38 OS=Homo sapiens GN=TTC38 PE=1 SV=1	TTC38
14296	13885.6	14269.3	13877.5	13717.4	13645.6	O75937	DnaJ homolog subfamily C member 8 OS=Homo sapiens GN=DNAJC8 PE=1 SV=2	DNAJC8
2448.8	2350.2	2409.7	2377.2	2315.8	2348	Q96B36-3	Isoform 3 of Proline-rich AKT1 substrate 1 OS=Homo sapiens GN=AKT1S1	AKT1S1
1935.6	2011.8	1895.5	1879.1	1878.3	1896.8	Q8IX04	Ubiquitin-conjugating enzyme E2 variant 3 OS=Homo sapiens GN=UEVLD PE=1 SV=2	UEVLD
14339.8	14313.3	13942	13921.2	14314.9	14046.5	P42167	"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2"	TMPO
7768.1	7558.6	7713.7	7541.4	7551.5	7574.6	Q6UXN9	WD repeat-containing protein 82 OS=Homo sapiens GN=WDR82 PE=1 SV=1	WDR82
368.1	391.6	355.1	357.4	418.8	388.6	Q8WUA8	Tsukushin OS=Homo sapiens GN=TSKU PE=2 SV=3	TSKU
744.3	756.1	742.6	722.6	726.6	720.3	P55042	GTP-binding protein RAD OS=Homo sapiens GN=RRAD PE=1 SV=2	RRAD
309.8	267.1	299.8	300.8	285.9	314.5	Q8WUD1	Ras-related protein Rab-2B OS=Homo sapiens GN=RAB2B PE=1 SV=1	RAB2B
4231.1	4134.8	4180.3	4108	3895.1	3975.3	P36405	ADP-ribosylation factor-like protein 3 OS=Homo sapiens GN=ARL3 PE=1 SV=2	ARL3
4396.3	4438.6	4347.8	4268.7	4667.5	4551.7	Q5SY16	Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens GN=NOL9 PE=1 SV=1	NOL9
26733.3	27321.5	26873.2	25958	26642.2	26348	Q5T4S7-2	Isoform 2 of E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4	UBR4
7282	7232.7	7512.8	7071	6948.5	6998.4	Q86TU7	Histone-lysine N-methyltransferase setd3 OS=Homo sapiens GN=SETD3 PE=1 SV=1	SETD3
9837.6	9541.4	9867.6	9553.1	9477.2	9575	Q27J81	Inverted formin-2 OS=Homo sapiens GN=INF2 PE=1 SV=2	INF2
365.4	367.4	376.7	354.8	372.6	344.6	F5H757	Cytochrome b561 OS=Homo sapiens GN=CYB561 PE=4 SV=1	CYB561
770.2	746.7	774.2	748	771.8	750.5	Q5T1V6	Probable ATP-dependent RNA helicase DDX59 OS=Homo sapiens GN=DDX59 PE=1 SV=1	DDX59
225.9	239.9	231.9	219.4	238.2	233	Q9P287-2	Isoform 2 of BRCA2 and CDKN1A-interacting protein OS=Homo sapiens GN=BCCIP	BCCIP
283.6	280.2	278.6	275.4	273.1	274.7	Q8NI35	InaD-like protein OS=Homo sapiens GN=INADL PE=1 SV=3	INADL
2066	2120.4	2077.8	2006.5	2082.5	2055.1	Q96P47-4	"Isoform 4 of Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3 OS=Homo sapiens GN=AGAP3"	AGAP3
97.7	102.8	93.2	94.9	97.6	89.5	Q5QP82	DDB1- and CUL4-associated factor 10 OS=Homo sapiens GN=DCAF10 PE=1 SV=1	DCAF10
16834.1	16334.3	16619.3	16351	15979.6	16201.9	P25685	DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4	DNAJB1
835.9	851.5	864.1	811.9	827.6	845.5	Q8TF42	Ubiquitin-associated and SH3 domain-containing protein B OS=Homo sapiens GN=UBASH3B PE=1 SV=2	UBASH3B
338.1	359	330.5	328.4	354.4	337.1	O15455	Toll-like receptor 3 OS=Homo sapiens GN=TLR3 PE=1 SV=1	TLR3
79.7	76.7	69.4	77.4	74.8	85.1	Q96JN0	Ligand-dependent corepressor OS=Homo sapiens GN=LCOR PE=1 SV=2	LCOR
4294.2	4268.6	4398.1	4171.4	4360.6	4202	Q6ZUT6	Uncharacterized protein C15orf52 OS=Homo sapiens GN=C15orf52 PE=1 SV=1	C15orf52
7776.1	7474.4	7713.1	7554.3	7309	7553.4	P50552	Vasodilator-stimulated phosphoprotein OS=Homo sapiens GN=VASP PE=1 SV=3	VASP
123.4	131.9	135.2	119.9	123.1	125	Q9Y2D2-2	Isoform 2 of UDP-N-acetylglucosamine transporter OS=Homo sapiens GN=SLC35A3	SLC35A3
4218.7	4131.9	4190.5	4098.5	4120.9	4129.7	Q8IZH2	5'-3' exoribonuclease 1 OS=Homo sapiens GN=XRN1 PE=1 SV=1	XRN1
887	881.5	882.1	861.7	876.9	853.7	Q9HD67	Unconventional myosin-X OS=Homo sapiens GN=MYO10 PE=1 SV=3	MYO10
1042.8	1111.8	1057.3	1013.1	1099.5	1011.9	Q9BV57	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase OS=Homo sapiens GN=ADI1 PE=1 SV=1"	ADI1
1497.4	1474.6	1460.4	1454.8	1500.6	1461.2	Q9Y2V7	Conserved oligomeric Golgi complex subunit 6 OS=Homo sapiens GN=COG6 PE=1 SV=2	COG6
1030	1069.6	1069.7	1000.7	1076.8	1080.8	Q5JVS0	Intracellular hyaluronan-binding protein 4 OS=Homo sapiens GN=HABP4 PE=1 SV=1	HABP4
6984.1	6949.4	6965.4	6785.7	6673.2	6836.9	P30626	Sorcin OS=Homo sapiens GN=SRI PE=1 SV=1	SRI
2098.9	2124.2	2136.9	2039.3	2120.7	2018.6	Q9Y446-2	Isoform PKP3b of Plakophilin-3 OS=Homo sapiens GN=PKP3	PKP3
5505.3	5624.9	5534.2	5349	5407.1	5293.6	Q9Y6D5	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Homo sapiens GN=ARFGEF2 PE=1 SV=3	ARFGEF2
1131.9	1170.2	1117.3	1099.8	1134.1	1102.8	Q9BXP2	Solute carrier family 12 member 9 OS=Homo sapiens GN=SLC12A9 PE=1 SV=1	SLC12A9
442	437.2	433.5	429.5	468.3	439.2	A0A087WWL5	Uncharacterized protein C19orf68 OS=Homo sapiens GN=C19orf68 PE=4 SV=1	C19orf68
646.9	685	665	628.6	668	645.6	Q8IYH5	ZZ-type zinc finger-containing protein 3 OS=Homo sapiens GN=ZZZ3 PE=1 SV=1	ZZZ3
16394.4	16223.1	16087.5	15931	15893	15619.4	P61160	Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1	ACTR2
5894.4	5785.2	5932.4	5727.8	5574	5686	Q13564-4	Isoform 4 of NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens GN=NAE1	NAE1
19397.1	19538	19350.8	18849.8	18792.2	18963.9	Q13617-2	Isoform 2 of Cullin-2 OS=Homo sapiens GN=CUL2	CUL2
2054.4	2106.2	2097.1	1996.5	2023.4	1977.1	Q9P2Q2	FERM domain-containing protein 4A OS=Homo sapiens GN=FRMD4A PE=1 SV=3	FRMD4A
10119	9652.2	9948.2	9833.9	9665	10208.3	O14737	Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3	PDCD5
1367.7	1401.8	1392.1	1329.2	1408.6	1351.5	Q86YV9	Hermansky-Pudlak syndrome 6 protein OS=Homo sapiens GN=HPS6 PE=1 SV=1	HPS6
858.4	879.8	860.2	834.2	839.6	857.1	Q8WUU5	GATA zinc finger domain-containing protein 1 OS=Homo sapiens GN=GATAD1 PE=1 SV=1	GATAD1
9210	8922.1	9542	8950.9	8755	9033.5	O15145	Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens GN=ARPC3 PE=1 SV=3	ARPC3
864.6	793.4	874.2	840.3	779	813.6	Q8N806	Putative E3 ubiquitin-protein ligase UBR7 OS=Homo sapiens GN=UBR7 PE=1 SV=2	UBR7
451.4	475.4	468	438.7	438.6	428	Q9H0R3	Transmembrane protein 222 OS=Homo sapiens GN=TMEM222 PE=1 SV=2	TMEM222
1179	1190	1162.3	1145.9	1165.8	1167.2	Q24JP5-2	Isoform 2 of Transmembrane protein 132A OS=Homo sapiens GN=TMEM132A	TMEM132A
63491.5	63549.9	63613.7	61710.4	60771	61019.1	Q14008-3	Isoform 3 of Cytoskeleton-associated protein 5 OS=Homo sapiens GN=CKAP5	CKAP5
569.2	679.6	571.1	553.3	554.3	581	O43325	LYR motif-containing protein 1 OS=Homo sapiens GN=LYRM1 PE=2 SV=1	LYRM1
5730	5596.1	5734.9	5569.6	5655.8	5640.6	P35270	Sepiapterin reductase OS=Homo sapiens GN=SPR PE=1 SV=1	SPR
6959.4	6997.8	7013.3	6764.9	6837.9	6823.4	O15357	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2 OS=Homo sapiens GN=INPPL1 PE=1 SV=2"	INPPL1
1549.5	1487.3	1566.8	1506.2	1488.6	1477.4	Q9BRP8	Partner of Y14 and mago OS=Homo sapiens GN=WIBG PE=1 SV=1	WIBG
9758.4	9491.6	9927.6	9486	9160.6	9264.7	A6NFX8	ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=1 SV=1	NUDT5
3213.2	3174.3	3308.6	3123.6	3150.5	3072.8	O95989	Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Homo sapiens GN=NUDT3 PE=1 SV=1	NUDT3
18907.1	19330.3	19169.6	18380.2	18457.4	18126.6	Q86VI3	Ras GTPase-activating-like protein IQGAP3 OS=Homo sapiens GN=IQGAP3 PE=1 SV=2	IQGAP3
21174.8	20244.2	21371.1	20585.2	18521.1	19966.3	P10599	Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3	TXN
4464.9	4301.3	4407.4	4340.8	4394.4	4263.4	P29218-3	Isoform 3 of Inositol monophosphatase 1 OS=Homo sapiens GN=IMPA1	IMPA1
410	405.7	411.7	398.6	412.2	393.6	Q49B96	Cytochrome c oxidase assembly protein COX19 OS=Homo sapiens GN=COX19 PE=1 SV=1	COX19
38215.4	38197.6	37809.4	37156.3	38199.9	37834.7	P38919	Eukaryotic initiation factor 4A-III OS=Homo sapiens GN=EIF4A3 PE=1 SV=4	EIF4A3
1370.8	1408.6	1333.7	1332.9	1323.7	1389	Q9BYI3	Hyccin OS=Homo sapiens GN=FAM126A PE=1 SV=2	FAM126A
3207.7	3316.6	3281.7	3118.9	3232.8	3139.9	O00178	GTP-binding protein 1 OS=Homo sapiens GN=GTPBP1 PE=1 SV=3	GTPBP1
21457.7	21227.6	21250.4	20864	20427	20427.8	P21399	Cytoplasmic aconitate hydratase OS=Homo sapiens GN=ACO1 PE=1 SV=3	ACO1
11831.8	12155.6	11811.8	11504.5	11910.8	11491.4	O43592	Exportin-T OS=Homo sapiens GN=XPOT PE=1 SV=2	XPOT
397.2	413.2	433.4	386.2	410.4	392.2	Q5TGL8	PX domain-containing protein 1 OS=Homo sapiens GN=PXDC1 PE=2 SV=3	PXDC1
8140.2	8116.6	8147.7	7915.4	7893.4	8063.2	Q15813	Tubulin-specific chaperone E OS=Homo sapiens GN=TBCE PE=1 SV=1	TBCE
580.9	566.8	561.2	564.9	590.4	569.4	Q8N4W9	Zinc finger protein 808 OS=Homo sapiens GN=ZNF808 PE=2 SV=2	ZNF808
274.9	290.3	288.8	267.3	305.4	292.6	P09619	Platelet-derived growth factor receptor beta OS=Homo sapiens GN=PDGFRB PE=1 SV=1	PDGFRB
48137.1	48335.7	47688.9	46811.8	46363.6	46436	Q01518	Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5	CAP1
30062.9	29597.6	29634.8	29236.2	29818.7	29405.5	Q15020	Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=1 SV=1	SART3
1381	1385.7	1311.1	1343	1401.4	1347.4	P17405	Sphingomyelin phosphodiesterase OS=Homo sapiens GN=SMPD1 PE=1 SV=4	SMPD1
2821.6	2870.2	2921.9	2744.1	2765.4	2695.1	S4R3N1	Protein HSPE1-MOB4 OS=Homo sapiens GN=HSPE1-MOB4 PE=3 SV=1	HSPE1-MOB4
3401.5	3438.5	3379.3	3308.1	3436.8	3346	Q9UER7	Death domain-associated protein 6 OS=Homo sapiens GN=DAXX PE=1 SV=2	DAXX
18254	17718.5	18232.6	17753	17456.1	17488.6	Q70E73	Ras-associated and pleckstrin homology domains-containing protein 1 OS=Homo sapiens GN=RAPH1 PE=1 SV=3	RAPH1
1780.8	1796	1700.4	1732	1723.4	1740.7	P30536	Translocator protein OS=Homo sapiens GN=TSPO PE=1 SV=3	TSPO
491.8	500	516.2	478.3	508.4	462.8	Q14691	DNA replication complex GINS protein PSF1 OS=Homo sapiens GN=GINS1 PE=1 SV=1	GINS1
328.2	323.6	308.7	319.2	341.2	308.8	Q9UGQ3	"Solute carrier family 2, facilitated glucose transporter member 6 OS=Homo sapiens GN=SLC2A6 PE=1 SV=2"	SLC2A6
47990.2	46950.6	48115.5	46681	45925.3	46393.5	Q9NTJ3	Structural maintenance of chromosomes protein 4 OS=Homo sapiens GN=SMC4 PE=1 SV=2	SMC4
104681.4	103447	104847.1	101829.9	101578.1	101488.7	Q9NZM1	Myoferlin OS=Homo sapiens GN=MYOF PE=1 SV=1	MYOF
662.6	673.9	685.3	644.6	691.9	667	Q96EX3	WD repeat-containing protein 34 OS=Homo sapiens GN=WDR34 PE=1 SV=2	WDR34
12866.7	12554.8	12845.4	12517.1	12620.9	12686.9	Q9Y2Z0	Suppressor of G2 allele of SKP1 homolog OS=Homo sapiens GN=SUGT1 PE=1 SV=3	SUGT1
351.3	351.8	351.3	341.8	354.8	336.9	Q9NYT0	Pleckstrin-2 OS=Homo sapiens GN=PLEK2 PE=1 SV=1	PLEK2
1951.8	1887.4	1910.6	1898.8	1950.2	1930.6	Q8NCE0	tRNA-splicing endonuclease subunit Sen2 OS=Homo sapiens GN=TSEN2 PE=2 SV=2	TSEN2
3902.3	3921.3	3907.6	3796.5	3938.2	3820	O60826	Coiled-coil domain-containing protein 22 OS=Homo sapiens GN=CCDC22 PE=1 SV=1	CCDC22
1220.3	1276.6	1252.2	1187.2	1306.9	1173.3	Q9UKB1	F-box/WD repeat-containing protein 11 OS=Homo sapiens GN=FBXW11 PE=1 SV=1	FBXW11
29931.5	30369.5	29878.4	29120.6	28780.7	28540.4	P12004	Proliferating cell nuclear antigen OS=Homo sapiens GN=PCNA PE=1 SV=1	PCNA
178.8	179.4	176.4	174	175.5	175.5	Q8N8Z6	"Discoidin, CUB and LCCL domain-containing protein 1 OS=Homo sapiens GN=DCBLD1 PE=1 SV=2"	DCBLD1
25441.2	24577.4	25107.9	24752.9	25015.7	24784.5	Q7L1Q6-3	Isoform 3 of Basic leucine zipper and W2 domain-containing protein 1 OS=Homo sapiens GN=BZW1	BZW1
1009.7	1035.4	1052.1	982.4	1001.1	979.6	D3YTA9	Calcineurin subunit B type 1 OS=Homo sapiens GN=PPP3R1 PE=4 SV=1	PPP3R1
1055.3	1023.1	1046.1	1026.8	1011.8	1012.5	Q16854	"Deoxyguanosine kinase, mitochondrial OS=Homo sapiens GN=DGUOK PE=1 SV=2"	DGUOK
1142	1141.2	1147.9	1111.2	1105.8	1072.2	B4DTS2	Serine/threonine-protein kinase D OS=Homo sapiens GN=PRKD2 PE=1 SV=1	PRKD2
23925	23474.4	23760.5	23280.3	23117.4	23084.6	P12081	"Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS PE=1 SV=2"	HARS
2866.2	2821.3	2868.4	2789	2762.4	2789	O60232	Sjoegren syndrome/scleroderma autoantigen 1 OS=Homo sapiens GN=SSSCA1 PE=1 SV=1	SSSCA1
43	44.7	40	41.8	34.2	30.3	Q6ZSS7	Major facilitator superfamily domain-containing protein 6 OS=Homo sapiens GN=MFSD6 PE=1 SV=2	MFSD6
1376.2	1401	1354.6	1339.2	1410.6	1391.9	Q8N2M8	CLK4-associating serine/arginine rich protein OS=Homo sapiens GN=CLASRP PE=1 SV=4	CLASRP
15660.5	15298.2	15708.2	15239.6	14758.5	14944.7	P09960	Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2	LTA4H
108.6	109.6	107.9	105.7	105.3	97.7	Q5TCX8	Mitogen-activated protein kinase kinase kinase MLK4 OS=Homo sapiens GN=MLK4 PE=1 SV=1	MLK4
2346.6	2328.9	2391.1	2283.6	2263.3	2285	Q86WR0	Coiled-coil domain-containing protein 25 OS=Homo sapiens GN=CCDC25 PE=1 SV=2	CCDC25
535	517.3	521	520.6	522.2	515.5	Q7Z7F0	UPF0469 protein KIAA0907 OS=Homo sapiens GN=KIAA0907 PE=1 SV=1	KIAA0907
914.1	937.8	949.1	889.6	894.2	888.4	Q8NCF5	NFATC2-interacting protein OS=Homo sapiens GN=NFATC2IP PE=1 SV=1	NFATC2IP
17232.2	17585.1	16980.6	16770.5	16884.7	16960.5	P31153	S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1	MAT2A
579.8	559.1	557.2	564.3	633.6	574.9	Q5TC82	Roquin-1 OS=Homo sapiens GN=RC3H1 PE=1 SV=1	RC3H1
373.6	407.9	350.9	363.6	409.9	367.8	Q9NUE0	Palmitoyltransferase ZDHHC18 OS=Homo sapiens GN=ZDHHC18 PE=2 SV=2	ZDHHC18
6340.2	6272.8	6152.4	6170.8	6367	6238.9	Q9UHI6	Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens GN=DDX20 PE=1 SV=2	DDX20
3977.4	3980.4	3999.8	3871.3	3950.4	3998.9	Q9Y6X9	MORC family CW-type zinc finger protein 2 OS=Homo sapiens GN=MORC2 PE=1 SV=2	MORC2
5392.7	5394.9	5460.3	5248.8	5286.4	5235.2	O15164	Transcription intermediary factor 1-alpha OS=Homo sapiens GN=TRIM24 PE=1 SV=3	TRIM24
893.5	827.1	885.7	869.7	865.7	907.7	Q13309	S-phase kinase-associated protein 2 OS=Homo sapiens GN=SKP2 PE=1 SV=2	SKP2
12820.9	12873.1	12609.7	12479.1	12601.3	12468.3	O95292	Vesicle-associated membrane protein-associated protein B/C OS=Homo sapiens GN=VAPB PE=1 SV=3	VAPB
2777.2	2788.6	2815	2703.2	2600.9	2657.8	Q9Y597	BTB/POZ domain-containing protein KCTD3 OS=Homo sapiens GN=KCTD3 PE=1 SV=2	KCTD3
8302.5	8195.1	8125.3	8081.4	8330.8	8318.5	Q9Y618	Nuclear receptor corepressor 2 OS=Homo sapiens GN=NCOR2 PE=1 SV=2	NCOR2
2766.3	3028.9	2812	2692.7	2836.9	2793.4	Q8TCY9	Up-regulator of cell proliferation OS=Homo sapiens GN=URGCP PE=1 SV=2	URGCP
3000.9	2963	2931.4	2921.2	2877.6	3020.5	Q9NPD8	Ubiquitin-conjugating enzyme E2 T OS=Homo sapiens GN=UBE2T PE=1 SV=1	UBE2T
1061	1142.7	1036.9	1032.9	1089.3	1016.5	Q92543	Sorting nexin-19 OS=Homo sapiens GN=SNX19 PE=1 SV=2	SNX19
21215.4	20934.5	21417.7	20653.5	20744.6	21036.8	G3V5Z7	Proteasome subunit alpha type OS=Homo sapiens GN=PSMA6 PE=1 SV=1	PSMA6
22632.9	22399	22432.7	22034.3	22249.8	22410.5	A0A087X2I1	26S protease regulatory subunit 10B OS=Homo sapiens GN=PSMC6 PE=1 SV=1	PSMC6
2217.5	2323.4	2201.1	2158.9	2353.2	2307.7	Q6IN84	"rRNA methyltransferase 1, mitochondrial OS=Homo sapiens GN=MRM1 PE=1 SV=1"	MRM1
10392	10485.3	10243.6	10117.6	10470.9	10090.2	Q8N3C0	Activating signal cointegrator 1 complex subunit 3 OS=Homo sapiens GN=ASCC3 PE=1 SV=3	ASCC3
15058.9	14734.8	15142.3	14661.6	14589.1	14551.5	P52732	Kinesin-like protein KIF11 OS=Homo sapiens GN=KIF11 PE=1 SV=2	KIF11
743.5	708.8	717.3	723.9	753.1	698.5	Q4VC05-2	Isoform 2 of B-cell CLL/lymphoma 7 protein family member A OS=Homo sapiens GN=BCL7A	BCL7A
2170.1	2227.5	2177.7	2112.9	2115.6	2061.9	Q6DKJ4	Nucleoredoxin OS=Homo sapiens GN=NXN PE=1 SV=2	NXN
427.6	419.4	411.9	416.3	393.8	413.5	P23677	Inositol-trisphosphate 3-kinase A OS=Homo sapiens GN=ITPKA PE=1 SV=1	ITPKA
3897.1	3990.7	3905	3794.6	3904.2	3956.1	Q15650	Activating signal cointegrator 1 OS=Homo sapiens GN=TRIP4 PE=1 SV=4	TRIP4
1822.8	1828.9	1811.3	1774.9	1696.8	1719.5	O75843	AP-1 complex subunit gamma-like 2 OS=Homo sapiens GN=AP1G2 PE=1 SV=1	AP1G2
1613.8	1642.4	1611.8	1571.4	1593.6	1519	Q14999-2	Isoform 2 of Cullin-7 OS=Homo sapiens GN=CUL7	CUL7
2537	2576.2	2614	2470.4	2571.1	2488	Q9Y4R8	Telomere length regulation protein TEL2 homolog OS=Homo sapiens GN=TELO2 PE=1 SV=2	TELO2
4298.4	4450.7	4218.3	4185.5	4255	4231.4	R4GN35	DENN domain-containing protein 4C OS=Homo sapiens GN=DENND4C PE=1 SV=1	DENND4C
12584.1	12549	12874.6	12254	12235.6	12236.2	P61163	Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1	ACTR1A
558.1	521	546.2	543.5	594.1	563.6	Q9NX76	CKLF-like MARVEL transmembrane domain-containing protein 6 OS=Homo sapiens GN=CMTM6 PE=1 SV=1	CMTM6
4858.2	4852	4962.3	4731	4641.2	4557.4	Q9BRF8	Serine/threonine-protein phosphatase CPPED1 OS=Homo sapiens GN=CPPED1 PE=1 SV=3	CPPED1
1997.1	2067.6	2042	1944.8	2006.4	1912.1	Q8NDA8	Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens GN=MROH1 PE=2 SV=3	MROH1
2725.7	2798.9	2727	2654.4	2721.7	2620.4	Q7Z392	Trafficking protein particle complex subunit 11 OS=Homo sapiens GN=TRAPPC11 PE=1 SV=2	TRAPPC11
4755	5014.4	4792.3	4630.7	4626.4	4694.8	P41214	Eukaryotic translation initiation factor 2D OS=Homo sapiens GN=EIF2D PE=1 SV=3	EIF2D
18496.5	20813.2	17409.1	18013.1	18698.2	18608.7	P46778	60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2	RPL21
79.7	82.8	68.4	77.6	74.7	78.7	E9PKB1	Coiled-coil domain-containing protein 15 OS=Homo sapiens GN=CCDC15 PE=4 SV=1	CCDC15
7079.4	6974.7	6929.3	6894.4	7100.7	7017.9	Q9Y2G5	GDP-fucose protein O-fucosyltransferase 2 OS=Homo sapiens GN=POFUT2 PE=1 SV=3	POFUT2
10152.9	9656.1	10018	9887.7	9763.9	9772.2	Q9GZZ1	N-alpha-acetyltransferase 50 OS=Homo sapiens GN=NAA50 PE=1 SV=1	NAA50
143.3	165.4	155.2	139.6	135.2	127.8	Q05GC8	Breast cancer anti-estrogen resistance 2 OS=Homo sapiens GN=BCAR2 PE=1 SV=1	BCAR2
4373.1	4374.2	4358	4259	4411.6	4218.1	Q9UI26-2	Isoform 2 of Importin-11 OS=Homo sapiens GN=IPO11	IPO11
1986.4	2038.5	1977.5	1934.6	2025.7	2004.6	Q92604	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 OS=Homo sapiens GN=LPGAT1 PE=2 SV=1	LPGAT1
14936.6	14583.6	14625.3	14547.3	14968.4	14949.6	P28074	Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3	PSMB5
1040.2	1050	1073.3	1013.1	1005.6	1008.1	A0A087WT30	Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=1	C12orf45
7713.3	7684.1	7671.8	7512.3	7743.3	7704	Q6UN15	Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens GN=FIP1L1 PE=1 SV=1	FIP1L1
4306.2	4120.7	4358.6	4194	4046.8	4130	Q9NY27	Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Homo sapiens GN=PPP4R2 PE=1 SV=3	PPP4R2
1053.2	1118.9	1060.8	1025.8	1112.9	1038.1	Q9NQX7	Integral membrane protein 2C OS=Homo sapiens GN=ITM2C PE=1 SV=1	ITM2C
6679.2	6632.7	6750.9	6505.3	6472.7	6434.5	O15498	Synaptobrevin homolog YKT6 OS=Homo sapiens GN=YKT6 PE=1 SV=1	YKT6
8706.1	8527.8	8825.9	8479.6	8139.8	8261.9	D6RBW1	Eukaryotic translation initiation factor 4E OS=Homo sapiens GN=EIF4E PE=1 SV=1	EIF4E
5706.4	5475.7	5604.6	5558	5626.5	5558.2	O95453	Poly(A)-specific ribonuclease PARN OS=Homo sapiens GN=PARN PE=1 SV=1	PARN
5295.1	5079	5236.5	5157.7	5046.6	5078.1	Q9Y5A9	YTH domain-containing family protein 2 OS=Homo sapiens GN=YTHDF2 PE=1 SV=2	YTHDF2
47132	46881.5	47692.3	45909.2	45929.6	45442	O00410-3	Isoform 3 of Importin-5 OS=Homo sapiens GN=IPO5	IPO5
1066.1	1144.2	1018.2	1038.5	1032.1	1000.1	O60907	F-box-like/WD repeat-containing protein TBL1X OS=Homo sapiens GN=TBL1X PE=1 SV=3	TBL1X
733.5	688.3	714	714.5	636.6	668.6	Q9UIL1	Short coiled-coil protein OS=Homo sapiens GN=SCOC PE=1 SV=2	SCOC
1872.5	1901.8	1901.2	1824.1	1950.7	1861.9	Q8N1B4	Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens GN=VPS52 PE=1 SV=1	VPS52
4499.8	4419.9	4411	4383.5	4382.9	4413.4	P04049-2	Isoform 2 of RAF proto-oncogene serine/threonine-protein kinase OS=Homo sapiens GN=RAF1	RAF1
5640.7	5720.5	5716.4	5495	5655.3	5513.4	Q8TF05	Serine/threonine-protein phosphatase 4 regulatory subunit 1 OS=Homo sapiens GN=PPP4R1 PE=1 SV=1	PPP4R1
435	437.5	449.3	423.8	420.9	409.8	Q7Z3K6-2	Isoform 2 of Mesoderm induction early response protein 3 OS=Homo sapiens GN=MIER3	MIER3
14571.2	16531	14201.9	14195.2	14225.3	14874.9	P53999	Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3	SUB1
35486.4	35263.2	35360.6	34571.6	35816.2	35080.4	P49748-3	"Isoform 3 of Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL"	ACADVL
2761.8	2809.3	2688.4	2690.8	2734.8	2730.7	Q8IVL0	Neuron navigator 3 OS=Homo sapiens GN=NAV3 PE=1 SV=3	NAV3
1446.2	1454.1	1449	1409	1456.6	1395.1	O94967-4	Isoform 4 of WD repeat-containing protein 47 OS=Homo sapiens GN=WDR47	WDR47
2974.5	3032.5	2995.6	2898.1	2867.9	2812.8	Q92696	Geranylgeranyl transferase type-2 subunit alpha OS=Homo sapiens GN=RABGGTA PE=1 SV=2	RABGGTA
1063.9	1036.2	1038.1	1036.6	996.9	1017.3	Q8IVB5	LIX1-like protein OS=Homo sapiens GN=LIX1L PE=2 SV=1	LIX1L
4818.3	4810.8	4885	4694.7	4922	4720.4	Q86US8	Telomerase-binding protein EST1A OS=Homo sapiens GN=SMG6 PE=1 SV=2	SMG6
1817	1764.6	1757.5	1770.4	1850.4	1805.4	Q9H9A7	RecQ-mediated genome instability protein 1 OS=Homo sapiens GN=RMI1 PE=1 SV=3	RMI1
