Entry	Entry name	Status	Protein names	Organism	Length	Gene symbol	Alias Genes
Q14686	NCOA6_HUMAN	reviewed	Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)	Homo sapiens (Human)	2063	NCOA6	AIB3;KIAA0181;RAP250;TRBP
O95456	PSMG1_HUMAN	reviewed	Proteasome assembly chaperone 1 (PAC-1) (Chromosome 21 leucine-rich protein) (C21-LRP) (Down syndrome critical region protein 2)	Homo sapiens (Human)	288	PSMG1	C21LRP;DSCR2;PAC1
O15442	MPPD1_HUMAN	reviewed	Metallophosphoesterase domain-containing protein 1 (EC 3.1.-.-) (Adult brain protein 239) (239AB)	Homo sapiens (Human)	326	MPPED1	C22orf1;FAM1A
O75439	MPPB_HUMAN	reviewed	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (P-52)	Homo sapiens (Human)	489	PMPCB	MPPB
O75376	NCOR1_HUMAN	reviewed	Nuclear receptor corepressor 1 (N-CoR) (N-CoR1)	Homo sapiens (Human)	2440	NCOR1	KIAA1047
Q4VC12	MSS51_HUMAN	reviewed	Putative protein MSS51 homolog, mitochondrial (Zinc finger MYND domain-containing protein 17)	Homo sapiens (Human)	460	MSS51	ZMYND17
Q99748	NRTN_HUMAN	reviewed	Neurturin	Homo sapiens (Human)	197	NRTN	NA
P80294	MT1H_HUMAN	reviewed	Metallothionein-1H (MT-1H) (Metallothionein-0) (MT-0) (Metallothionein-IH) (MT-IH)	Homo sapiens (Human)	61	MT1H	NA
Q9Y4C0	NRX3A_HUMAN	reviewed	Neurexin-3 (Neurexin III-alpha) (Neurexin-3-alpha)	Homo sapiens (Human)	1643	NRXN3	C14orf60;KIAA0743
Q8TD46	MO2R1_HUMAN	reviewed	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1)	Homo sapiens (Human)	325	CD200R1	CD200R;CRTR2;MOX2R;OX2R;UNQ2522/PRO6015
P07988	PSPB_HUMAN	reviewed	Pulmonary surfactant-associated protein B (SP-B) (18 kDa pulmonary-surfactant protein) (6 kDa protein) (Pulmonary surfactant-associated proteolipid SPL(Phe))	Homo sapiens (Human)	381	SFTPB	SFTP3
Q9GZM8	NDEL1_HUMAN	reviewed	Nuclear distribution protein nudE-like 1 (Protein Nudel) (Mitosin-associated protein 1)	Homo sapiens (Human)	345	NDEL1	EOPA;MITAP1;NUDEL
Q8TCY5	MRAP_HUMAN	reviewed	Melanocortin-2 receptor accessory protein (B27) (Fat cell-specific low molecular weight protein) (Fat tissue-specific low MW protein)	Homo sapiens (Human)	172	MRAP	C21orf61;FALP
Q12857	NFIA_HUMAN	reviewed	Nuclear factor 1 A-type (NF1-A) (Nuclear factor 1/A) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/A) (NF-I/A) (NFI-A) (TGGCA-binding protein)	Homo sapiens (Human)	509	NFIA	KIAA1439
Q86UQ8	NFE4_HUMAN	reviewed	Transcription factor NF-E4	Homo sapiens (Human)	179	NFE4	NA
Q5VZ52	MORN5_HUMAN	reviewed	MORN repeat-containing protein 5	Homo sapiens (Human)	161	MORN5	C9orf113;C9orf18
O14495	PLPP3_HUMAN	reviewed	Phospholipid phosphatase 3 (EC 3.1.3.4) (Lipid phosphate phosphohydrolase 3) (PAP2-beta) (Phosphatidate phosphohydrolase type 2b) (Phosphatidic acid phosphatase 2b) (PAP-2b) (PAP2b) (Vascular endothelial growth factor and type I collagen-inducible protein) (VCIP)	Homo sapiens (Human)	311	PLPP3	LPP3;PPAP2B
Q8IY26	PLPP6_HUMAN	reviewed	Phospholipid phosphatase 6 (EC 3.1.3.-) (Phosphatidic acid phosphatase type 2 domain-containing protein 2) (PPAP2 domain-containing protein 2) (Presqualene diphosphate phosphatase)	Homo sapiens (Human)	295	PLPP6	PPAPDC2
P20264	PO3F3_HUMAN	reviewed	POU domain, class 3, transcription factor 3 (Brain-specific homeobox/POU domain protein 1) (Brain-1) (Brn-1) (Octamer-binding protein 8) (Oct-8) (Octamer-binding transcription factor 8) (OTF-8)	Homo sapiens (Human)	500	POU3F3	BRN1;OTF8
Q9UKN1	MUC12_HUMAN	reviewed	Mucin-12 (MUC-12) (Mucin-11) (MUC-11)	Homo sapiens (Human)	5478	MUC12	MUC11
Q8TBX8	PI42C_HUMAN	reviewed	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma (EC 2.7.1.149) (Phosphatidylinositol 5-phosphate 4-kinase type II gamma) (PI(5)P 4-kinase type II gamma) (PIP4KII-gamma)	Homo sapiens (Human)	421	PIP4K2C	PIP5K2C
Q8N387	MUC15_HUMAN	reviewed	Mucin-15 (MUC-15)	Homo sapiens (Human)	334	MUC15	UNQ750/PRO1481
Q3MIW9	MUCL3_HUMAN	reviewed	Mucin-like protein 3 (Diffuse panbronchiolitis critical region protein 1)	Homo sapiens (Human)	517	MUCL3	C6orf37;DPCR1;PBLT
Q02505	MUC3A_HUMAN	reviewed	Mucin-3A (MUC-3A) (Intestinal mucin-3A)	Homo sapiens (Human)	3323	MUC3A	MUC3
Q9NRQ2	PLS4_HUMAN	reviewed	Phospholipid scramblase 4 (PL scramblase 4) (Ca(2+)-dependent phospholipid scramblase 4) (Cell growth-inhibiting gene 43 protein) (TRA1)	Homo sapiens (Human)	329	PLSCR4	GIG43
Q8TC44	POC1B_HUMAN	reviewed	POC1 centriolar protein homolog B (Pix1) (Proteome of centriole protein 1B) (WD repeat-containing protein 51B)	Homo sapiens (Human)	478	POC1B	WDR51B
Q8WVV4	POF1B_HUMAN	reviewed	Protein POF1B (Premature ovarian failure protein 1B)	Homo sapiens (Human)	589	POF1B	NA
Q8IYJ0	PIANP_HUMAN	reviewed	PILR alpha-associated neural protein (PILR-associating neural protein) (Paired immunoglobin-like type 2 receptor-associating neural protein)	Homo sapiens (Human)	282	PIANP	C12orf53;PANP;UNQ828/PRO1755
Q9UQG0	POK11_HUMAN	reviewed	Endogenous retrovirus group K member 11 Pol protein (HERV-K_3q27.2 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	Homo sapiens (Human)	969	ERVK-11	NA
Q9P0M9	RM27_HUMAN	reviewed	39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27) (Mitochondrial large ribosomal subunit protein bL27m)	Homo sapiens (Human)	148	MRPL27	HSPC250
Q9BXR3	POK6_HUMAN	reviewed	Endogenous retrovirus group K member 6 Pol protein (HERV-K(C7) Pol protein) (HERV-K(HML-2.HOM) Pol protein) (HERV-K108 Pol protein) (HERV-K_7p22.1 provirus ancestral Pol protein) [Includes: Reverse transcriptase (RT) (EC 2.7.7.49); Ribonuclease H (RNase H) (EC 3.1.26.4); Integrase (IN)]	Homo sapiens (Human)	956	ERVK-6	ERVK6
Q9UPN7	PP6R1_HUMAN	reviewed	Serine/threonine-protein phosphatase 6 regulatory subunit 1 (SAPS domain family member 1)	Homo sapiens (Human)	881	PPP6R1	KIAA1115;PP6R1;SAPS1
Q9H5I5	PIEZ2_HUMAN	reviewed	Piezo-type mechanosensitive ion channel component 2 (Protein FAM38B)	Homo sapiens (Human)	2752	PIEZO2	C18orf30;C18orf58;FAM38B
P0C881	R10B1_HUMAN	reviewed	Radial spoke head 10 homolog B	Homo sapiens (Human)	870	RSPH10B	NA
Q86T03	PP4P1_HUMAN	reviewed	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)	Homo sapiens (Human)	277	PIP4P1	C14orf9;TMEM55B
Q9H3S5	PIGM_HUMAN	reviewed	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M)	Homo sapiens (Human)	423	PIGM	NA
Q7Z7B1	PIGW_HUMAN	reviewed	Phosphatidylinositol-glycan biosynthesis class W protein (PIG-W) (EC 2.3.-.-)	Homo sapiens (Human)	504	PIGW	NA
Q9NZE8	RM35_HUMAN	reviewed	39S ribosomal protein L35, mitochondrial (L35mt) (MRP-L35) (Mitochondrial large ribosomal subunit protein bL35m)	Homo sapiens (Human)	188	MRPL35	BM-007
Q6NVV1	R13P3_HUMAN	reviewed	Putative 60S ribosomal protein L13a protein RPL13AP3 (60S ribosomal protein L13a pseudogene 3)	Homo sapiens (Human)	102	RPL13AP3	NA
Q9BZG2	PPAT_HUMAN	reviewed	Testicular acid phosphatase (EC 3.1.3.2) (Acid phosphatase 4)	Homo sapiens (Human)	426	ACP4	ACPT
Q9NWS0	PIHD1_HUMAN	reviewed	PIH1 domain-containing protein 1 (Nucleolar protein 17 homolog)	Homo sapiens (Human)	290	PIH1D1	NOP17
P50876	R144A_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF144A (EC 2.3.2.31) (RING finger protein 144A) (UbcM4-interacting protein 4) (Ubiquitin-conjugating enzyme 7-interacting protein 4)	Homo sapiens (Human)	292	RNF144A	KIAA0161;RNF144;UBCE7IP4
Q9P0J6	RM36_HUMAN	reviewed	39S ribosomal protein L36, mitochondrial (L36mt) (MRP-L36) (BRCA1-interacting protein 1) (Mitochondrial large ribosomal subunit protein bL36m)	Homo sapiens (Human)	103	MRPL36	BRIP1
Q7Z419	R144B_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF144B (EC 2.3.2.31) (IBR domain-containing protein 2) (RING finger protein 144B) (p53-inducible RING finger protein)	Homo sapiens (Human)	303	RNF144B	IBRDC2;P53RFP
Q8N8X9	MB213_HUMAN	reviewed	Protein mab-21-like 3	Homo sapiens (Human)	362	MAB21L3	C1orf161
Q92769	HDAC2_HUMAN	reviewed	Histone deacetylase 2 (HD2) (EC 3.5.1.98)	Homo sapiens (Human)	488	HDAC2	NA
Q8IWA4	MFN1_HUMAN	reviewed	Mitofusin-1 (EC 3.6.5.-) (Fzo homolog) (Transmembrane GTPase MFN1)	Homo sapiens (Human)	741	MFN1	NA
P46695	IEX1_HUMAN	reviewed	Radiation-inducible immediate-early gene IEX-1 (Differentiation-dependent gene 2 protein) (Protein DIF-2) (Immediate early protein GLY96) (Immediate early response 3 protein) (PACAP-responsive gene 1 protein) (Protein PRG1)	Homo sapiens (Human)	156	IER3	DIF2;IEX1;PRG1
Q96MG2	JSPR1_HUMAN	reviewed	Junctional sarcoplasmic reticulum protein 1 (Junctional-face membrane protein of 45 kDa homolog) (JP-45)	Homo sapiens (Human)	331	JSRP1	JP45
O60271	JIP4_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 4 (JIP-4) (JNK-interacting protein 4) (Cancer/testis antigen 89) (CT89) (Human lung cancer oncogene 6 protein) (HLC-6) (JNK-associated leucine-zipper protein) (JLP) (Mitogen-activated protein kinase 8-interacting protein 4) (Proliferation-inducing protein 6) (Protein highly expressed in testis) (PHET) (Sperm surface protein) (Sperm-associated antigen 9) (Sperm-specific protein) (Sunday driver 1)	Homo sapiens (Human)	1321	SPAG9	HSS;KIAA0516;MAPK8IP4;SYD1;HLC6
Q13387	JIP2_HUMAN	reviewed	C-Jun-amino-terminal kinase-interacting protein 2 (JIP-2) (JNK-interacting protein 2) (Islet-brain-2) (IB-2) (JNK MAP kinase scaffold protein 2) (Mitogen-activated protein kinase 8-interacting protein 2)	Homo sapiens (Human)	824	MAPK8IP2	IB2;JIP2;PRKM8IPL
P05019	IGF1_HUMAN	reviewed	Insulin-like growth factor I (IGF-I) (Mechano growth factor) (MGF) (Somatomedin-C)	Homo sapiens (Human)	195	IGF1	IBP1
P01579	IFNG_HUMAN	reviewed	Interferon gamma (IFN-gamma) (Immune interferon)	Homo sapiens (Human)	166	IFNG	NA
P49757	NUMB_HUMAN	reviewed	Protein numb homolog (h-Numb) (Protein S171)	Homo sapiens (Human)	651	NUMB	C14orf41
Q9Y6R0	NUMBL_HUMAN	reviewed	Numb-like protein (Numb-related protein) (Numb-R)	Homo sapiens (Human)	609	NUMBL	NA
P60891	PRPS1_HUMAN	reviewed	Ribose-phosphate pyrophosphokinase 1 (EC 2.7.6.1) (PPRibP) (Phosphoribosyl pyrophosphate synthase I) (PRS-I)	Homo sapiens (Human)	318	PRPS1	NA
Q9BYU1	PBX4_HUMAN	reviewed	Pre-B-cell leukemia transcription factor 4 (Homeobox protein PBX4)	Homo sapiens (Human)	374	PBX4	NA
P81277	PRRP_HUMAN	reviewed	Prolactin-releasing peptide (PrRP) (Prolactin-releasing hormone) [Cleaved into: Prolactin-releasing peptide PrRP31; Prolactin-releasing peptide PrRP20]	Homo sapiens (Human)	87	PRLH	PRH
Q86VZ1	P2RY8_HUMAN	reviewed	P2Y purinoceptor 8 (P2Y8)	Homo sapiens (Human)	359	P2RY8	NA
Q8NF37	PCAT1_HUMAN	reviewed	Lysophosphatidylcholine acyltransferase 1 (LPC acyltransferase 1) (LPCAT-1) (LysoPC acyltransferase 1) (EC 2.3.1.23) (1-acylglycerophosphocholine O-acyltransferase) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acetyl-CoA:lyso-platelet-activating factor acetyltransferase) (Acetyl-CoA:lyso-PAF acetyltransferase) (Lyso-PAF acetyltransferase) (LysoPAFAT) (Acyltransferase-like 2) (Phosphonoformate immuno-associated protein 3)	Homo sapiens (Human)	534	LPCAT1	AYTL2;PFAAP3
Q9Y5H2	PCDGB_HUMAN	reviewed	Protocadherin gamma-A11 (PCDH-gamma-A11)	Homo sapiens (Human)	935	PCDHGA11	NA
Q9Y5H9	PCDA2_HUMAN	reviewed	Protocadherin alpha-2 (PCDH-alpha-2)	Homo sapiens (Human)	948	PCDHA2	NA
Q9UN71	PCDGG_HUMAN	reviewed	Protocadherin gamma-B4 (PCDH-gamma-B4) (Cadherin-20) (Fibroblast cadherin-2)	Homo sapiens (Human)	923	PCDHGB4	CDH20;FIB2
Q9BPW8	NIPS1_HUMAN	reviewed	Protein NipSnap homolog 1 (NipSnap1)	Homo sapiens (Human)	284	NIPSNAP1	NA
Q969F2	NKD2_HUMAN	reviewed	Protein naked cuticle homolog 2 (Naked-2) (hNkd2)	Homo sapiens (Human)	451	NKD2	NA
P60900	PSA6_HUMAN	reviewed	Proteasome subunit alpha type-6 (EC 3.4.25.1) (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain)	Homo sapiens (Human)	246	PSMA6	PROS27
Q86YP4	P66A_HUMAN	reviewed	Transcriptional repressor p66-alpha (Hp66alpha) (GATA zinc finger domain-containing protein 2A)	Homo sapiens (Human)	633	GATAD2A	NA
P27986	P85A_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	Homo sapiens (Human)	724	PIK3R1	GRB1
P0DJD7	PEPA4_HUMAN	reviewed	Pepsin A-4 (EC 3.4.23.1) (Pepsinogen-4)	Homo sapiens (Human)	388	PGA4	NA
Q9BSC4	NOL10_HUMAN	reviewed	Nucleolar protein 10	Homo sapiens (Human)	688	NOL10	NA
P86479	PR20C_HUMAN	reviewed	Proline-rich protein 20C	Homo sapiens (Human)	221	PRR20C	NA
Q8NGZ9	O2T10_HUMAN	reviewed	Olfactory receptor 2T10 (Olfactory receptor OR1-64)	Homo sapiens (Human)	312	OR2T10	NA
Q8NGZ0	O2AJ1_HUMAN	reviewed	Olfactory receptor 2AJ1	Homo sapiens (Human)	328	OR2AJ1	OR2AJ1P
A6NMZ5	O4C45_HUMAN	reviewed	Olfactory receptor 4C45	Homo sapiens (Human)	311	OR4C45	NA
Q8NGX1	O2T34_HUMAN	reviewed	Olfactory receptor 2T34 (Olfactory receptor OR1-63)	Homo sapiens (Human)	318	OR2T34	NA
Q8NH59	O51Q1_HUMAN	reviewed	Olfactory receptor 51Q1	Homo sapiens (Human)	317	OR51Q1	NA
Q8NH90	O5AK2_HUMAN	reviewed	Olfactory receptor 5AK2	Homo sapiens (Human)	309	OR5AK2	NA
Q8NH67	O52I2_HUMAN	reviewed	Olfactory receptor 52I2 (Olfactory receptor OR11-12)	Homo sapiens (Human)	350	OR52I2	NA
Q8NH61	O51F2_HUMAN	reviewed	Olfactory receptor 51F2 (Olfactory receptor OR11-23)	Homo sapiens (Human)	342	OR51F2	NA
Q9Y314	NOSIP_HUMAN	reviewed	Nitric oxide synthase-interacting protein (E3 ubiquitin-protein ligase NOSIP) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase NOSIP) (eNOS-interacting protein)	Homo sapiens (Human)	301	NOSIP	CGI-25
P46531	NOTC1_HUMAN	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) (hN1) (Translocation-associated notch protein TAN-1) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	Homo sapiens (Human)	2555	NOTCH1	TAN1
Q8NHA8	OR1FC_HUMAN	reviewed	Olfactory receptor 1F12 (Hs6M1-35P)	Homo sapiens (Human)	337	OR1F12	OR1F12P
P06401	PRGR_HUMAN	reviewed	Progesterone receptor (PR) (Nuclear receptor subfamily 3 group C member 3)	Homo sapiens (Human)	933	PGR	NR3C3
Q04721	NOTC2_HUMAN	reviewed	Neurogenic locus notch homolog protein 2 (Notch 2) (hN2) [Cleaved into: Notch 2 extracellular truncation (N2ECD); Notch 2 intracellular domain (N2ICD)]	Homo sapiens (Human)	2471	NOTCH2	NA
Q8NGR8	OR1L8_HUMAN	reviewed	Olfactory receptor 1L8 (Olfactory receptor OR9-24)	Homo sapiens (Human)	309	OR1L8	NA
Q8NGZ4	OR2G3_HUMAN	reviewed	Olfactory receptor 2G3 (Olfactory receptor OR1-33)	Homo sapiens (Human)	309	OR2G3	NA
O95371	OR2C1_HUMAN	reviewed	Olfactory receptor 2C1 (OLFmf3) (Olfactory receptor 2C2) (Olfactory receptor OR16-1) (Olfactory receptor OR16-2)	Homo sapiens (Human)	312	OR2C1	OR2C2P
Q8NH03	OR2T3_HUMAN	reviewed	Olfactory receptor 2T3	Homo sapiens (Human)	318	OR2T3	NA
Q8NGB2	OR4C5_HUMAN	reviewed	Olfactory receptor 4C5 (Olfactory receptor OR11-99)	Homo sapiens (Human)	326	OR4C5	NA
Q8NH00	OR2T4_HUMAN	reviewed	Olfactory receptor 2T4 (Olfactory receptor OR1-60)	Homo sapiens (Human)	348	OR2T4	NA
Q8NGE8	OR4D9_HUMAN	reviewed	Olfactory receptor 4D9 (Olfactory receptor OR11-253)	Homo sapiens (Human)	314	OR4D9	NA
Q8NHB1	OR2V1_HUMAN	reviewed	Olfactory receptor 2V1	Homo sapiens (Human)	315	OR2V1	NA
Q8NGI6	OR4DA_HUMAN	reviewed	Olfactory receptor 4D10 (Olfactory receptor OR11-251)	Homo sapiens (Human)	311	OR4D10	OR4D10P
Q96R67	OR4CC_HUMAN	reviewed	Olfactory receptor 4C12 (Olfactory receptor OR11-259)	Homo sapiens (Human)	309	OR4C12	NA
Q8NH43	OR4L1_HUMAN	reviewed	Olfactory receptor 4L1 (Olfactory receptor 4L2) (Olfactory receptor OR14-28)	Homo sapiens (Human)	312	OR4L1	OR4L2P
Q8NGL7	OR4P4_HUMAN	reviewed	Olfactory receptor 4P4 (Olfactory receptor 4P3)	Homo sapiens (Human)	312	OR4P4	OR4P3P
Q8NGL4	OR5DD_HUMAN	reviewed	Olfactory receptor 5D13 (Olfactory receptor OR11-142) (Olfactory receptor OR11-148)	Homo sapiens (Human)	314	OR5D13	NA
Q8NGB4	OR4S1_HUMAN	reviewed	Olfactory receptor 4S1 (Olfactory receptor OR11-100)	Homo sapiens (Human)	309	OR4S1	NA
Q5VZ03	NXNL2_HUMAN	reviewed	Nucleoredoxin-like protein 2 (Rod-derived cone viability factor 2) (RdCVF2)	Homo sapiens (Human)	156	NXNL2	C9orf121
Q8NH73	OR4S2_HUMAN	reviewed	Olfactory receptor 4S2 (Olfactory receptor OR11-137)	Homo sapiens (Human)	311	OR4S2	OR4S2P
Q8NGL2	OR5L1_HUMAN	reviewed	Olfactory receptor 5L1 (OST262) (Olfactory receptor OR11-151)	Homo sapiens (Human)	311	OR5L1	NA
Q6IEU7	OR5MA_HUMAN	reviewed	Olfactory receptor 5M10 (Olfactory receptor OR11-207)	Homo sapiens (Human)	315	OR5M10	NA
Q9H841	NPAL2_HUMAN	reviewed	NIPA-like protein 2	Homo sapiens (Human)	368	NIPAL2	NPAL2
Q8NGL0	OR5L2_HUMAN	reviewed	Olfactory receptor 5L2 (HTPCRX16) (Olfactory receptor OR11-153)	Homo sapiens (Human)	311	OR5L2	NA
Q8NGG3	OR5T3_HUMAN	reviewed	Olfactory receptor 5T3 (Olfactory receptor OR11-178)	Homo sapiens (Human)	340	OR5T3	NA
P0DMU2	OR83P_HUMAN	reviewed	Putative olfactory receptor 8G3 pseudogene (Olfactory receptor OR11-297)	Homo sapiens (Human)	310	OR8G3P	NA
P0C629	O10J4_HUMAN	reviewed	Olfactory receptor 10J4	Homo sapiens (Human)	311	OR10J4	OR10J4P
P78527	PRKDC_HUMAN	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	Homo sapiens (Human)	4128	PRKDC	HYRC;HYRC1
O95158	NXPH4_HUMAN	reviewed	Neurexophilin-4	Homo sapiens (Human)	308	NXPH4	NPH4;UNQ1928/PRO4403
Q8NGN7	O10D4_HUMAN	reviewed	Putative olfactory receptor 10D4	Homo sapiens (Human)	298	OR10D4P	OR10D4
Q8NG98	OR7D4_HUMAN	reviewed	Olfactory receptor 7D4 (OR19-B) (Odorant receptor family subfamily D member 4RT) (Olfactory receptor OR19-7)	Homo sapiens (Human)	312	OR7D4	OR7D4P
Q8NGP2	OR8J1_HUMAN	reviewed	Olfactory receptor 8J1 (Olfactory receptor OR11-183)	Homo sapiens (Human)	316	OR8J1	NA
Q9P242	NYAP2_HUMAN	reviewed	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2	Homo sapiens (Human)	653	NYAP2	KIAA1486
Q8NG94	O11H1_HUMAN	reviewed	Olfactory receptor 11H1 (Olfactory receptor OR22-1)	Homo sapiens (Human)	326	OR11H1	NA
Q8N148	OR6V1_HUMAN	reviewed	Olfactory receptor 6V1 (Olfactory receptor OR7-3)	Homo sapiens (Human)	313	OR6V1	NA
O76099	OR7C1_HUMAN	reviewed	Olfactory receptor 7C1 (Olfactory receptor 7C4) (Olfactory receptor OR19-16) (Olfactory receptor TPCR86)	Homo sapiens (Human)	320	OR7C1	OR7C4
Q8NGR1	O13A1_HUMAN	reviewed	Olfactory receptor 13A1 (Olfactory receptor OR10-3)	Homo sapiens (Human)	328	OR13A1	NA
Q8N945	PRLD2_HUMAN	reviewed	PRELI domain-containing protein 2	Homo sapiens (Human)	189	PRELID2	NA
Q9Y5X5	NPFF2_HUMAN	reviewed	Neuropeptide FF receptor 2 (G-protein coupled receptor 74) (G-protein coupled receptor HLWAR77) (Neuropeptide G-protein coupled receptor)	Homo sapiens (Human)	522	NPFFR2	GPR74;NPFF2;NPGPR
E9PKD4	NPIA5_HUMAN	reviewed	Nuclear pore complex-interacting protein family member A5	Homo sapiens (Human)	350	NPIPA5	NA
O43913	ORC5_HUMAN	reviewed	Origin recognition complex subunit 5	Homo sapiens (Human)	435	ORC5	ORC5L
Q504Q3	PAN2_HUMAN	reviewed	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (Inactive ubiquitin carboxyl-terminal hydrolase 52) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	Homo sapiens (Human)	1202	PAN2	KIAA0710;USP52
O00623	PEX12_HUMAN	reviewed	Peroxisome assembly protein 12 (Peroxin-12) (Peroxisome assembly factor 3) (PAF-3)	Homo sapiens (Human)	359	PEX12	PAF3
Q9H4L5	OSBL3_HUMAN	reviewed	Oxysterol-binding protein-related protein 3 (ORP-3) (OSBP-related protein 3)	Homo sapiens (Human)	887	OSBPL3	KIAA0704;ORP3;OSBP3
P36957	ODO2_HUMAN	reviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)	Homo sapiens (Human)	453	DLST	DLTS
Q9BZF1	OSBL8_HUMAN	reviewed	Oxysterol-binding protein-related protein 8 (ORP-8) (OSBP-related protein 8)	Homo sapiens (Human)	889	OSBPL8	KIAA1451;ORP8;OSBP10
Q9H1P3	OSBL2_HUMAN	reviewed	Oxysterol-binding protein-related protein 2 (ORP-2) (OSBP-related protein 2)	Homo sapiens (Human)	480	OSBPL2	KIAA0772;ORP2
P04629	NTRK1_HUMAN	reviewed	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	Homo sapiens (Human)	796	NTRK1	MTC;TRK;TRKA
Q8WUJ1	NEUFC_HUMAN	reviewed	Neuferricin (Cytochrome b5 domain-containing protein 2)	Homo sapiens (Human)	264	CYB5D2	NA
P35580	MYH10_HUMAN	reviewed	Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)	Homo sapiens (Human)	1976	MYH10	NA
P56278	MTCP1_HUMAN	reviewed	Protein p13 MTCP-1 (p13MTCP1) (Mature T-cell proliferation-1 type B1) (MTCP-1 type B1)	Homo sapiens (Human)	107	MTCP1	C6.1B
O94916	NFAT5_HUMAN	reviewed	Nuclear factor of activated T-cells 5 (NF-AT5) (T-cell transcription factor NFAT5) (Tonicity-responsive enhancer-binding protein) (TonE-binding protein) (TonEBP)	Homo sapiens (Human)	1531	NFAT5	KIAA0827;TONEBP
Q9H009	NACA2_HUMAN	reviewed	Nascent polypeptide-associated complex subunit alpha-2 (Alpha-NAC-like) (Hom s 2.01) (Nascent polypeptide-associated complex subunit alpha-like) (NAC-alpha-like)	Homo sapiens (Human)	215	NACA2	NACAL
O60927	PP1RB_HUMAN	reviewed	E3 ubiquitin-protein ligase PPP1R11 (EC 2.3.2.27) (Hemochromatosis candidate gene V protein) (HCG V) (Protein phosphatase 1 regulatory subunit 11) (Protein phosphatase inhibitor 3)	Homo sapiens (Human)	126	PPP1R11	HCGV;TCTE5
P62136	PP1A_HUMAN	reviewed	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	Homo sapiens (Human)	330	PPP1CA	PPP1A
Q9Y6U7	RN215_HUMAN	reviewed	RING finger protein 215	Homo sapiens (Human)	377	RNF215	NA
